Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate)
China,CHN,1990,381.21
China,CHN,1995,351.56
China,CHN,2000,344.56
China,CHN,2005,345.78
China,CHN,2010,329.36
China,CHN,2015,297.25
China,CHN,2019,276.94
India,IND,1990,332.83
India,IND,1995,314.69
India,IND,2000,314.26
India,IND,2005,283.3
India,IND,2010,267.79
India,IND,2015,264.15
India,IND,2019,256.37
Kenya,KEN,1990,225.86
Kenya,KEN,1995,225.13
Kenya,KEN,2000,232.02
Kenya,KEN,2005,252.64
Kenya,KEN,2010,251.55
Kenya,KEN,2015,243.17
Kenya,KEN,2019,239.75
Pakistan,PAK,1990,329.39
Pakistan,PAK,1995,381.96
Pakistan,PAK,2000,401.23
Pakistan,PAK,2005,402.01
Pakistan,PAK,2010,387.05
Pakistan,PAK,2015,373.01
Pakistan,PAK,2019,357.88
Sweden,SWE,1990,283.18
Sweden,SWE,1995,247.25
Sweden,SWE,2000,219.62
Sweden,SWE,2005,186.98
Sweden,SWE,2010,162.59
Sweden,SWE,2015,142.51
Sweden,SWE,2019,138.59
United States,USA,1990,264.64
United States,USA,1995,244.21
United States,USA,2000,223.67
United States,USA,2005,191.9
United States,USA,2010,162.93
United States,USA,2015,156.5
United States,USA,2019,157.01
World,OWID_WRL,1990,354.5
World,OWID_WRL,1995,339.59
World,OWID_WRL,2000,317.25
World,OWID_WRL,2005,296.69
World,OWID_WRL,2010,269.86
World,OWID_WRL,2015,249.93
World,OWID_WRL,2019,239.85
