Entity,Code,Year,Wind electricity per capita - kWh
Austria,AUT,1990,0.0
Austria,AUT,1995,0.0
Austria,AUT,2000,8.738612
Austria,AUT,2005,161.66216
Austria,AUT,2010,246.32812
Austria,AUT,2015,560.0282
Austria,AUT,2020,762.255
Austria,AUT,2022,778.5568
Barbados,BRB,2000,0.0
Barbados,BRB,2005,0.0
Barbados,BRB,2010,0.0
Barbados,BRB,2015,0.0
Barbados,BRB,2020,0.0
Lesotho,LSO,2000,0.0
Lesotho,LSO,2005,0.0
Lesotho,LSO,2010,0.0
Lesotho,LSO,2015,0.0
Lesotho,LSO,2020,0.0
Nigeria,NGA,2000,0.0
Nigeria,NGA,2005,0.0
Nigeria,NGA,2010,0.0
Nigeria,NGA,2015,0.0
Nigeria,NGA,2020,0.0
Nigeria,NGA,2022,0.0
Puerto Rico,PRI,2000,0.0
Puerto Rico,PRI,2005,0.0
Puerto Rico,PRI,2010,0.0
Puerto Rico,PRI,2015,68.62368
Puerto Rico,PRI,2020,42.79291
Serbia,SRB,1990,0.0
Serbia,SRB,1995,0.0
Serbia,SRB,2000,0.0
Serbia,SRB,2005,0.0
Serbia,SRB,2010,0.0
Serbia,SRB,2015,0.0
Serbia,SRB,2020,133.18819
Serbia,SRB,2022,130.1693
Zambia,ZMB,2000,0.0
Zambia,ZMB,2005,0.0
Zambia,ZMB,2010,0.0
Zambia,ZMB,2015,0.0
Zambia,ZMB,2020,0.0
