Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
Afghanistan,AFG,2021,0.56
Afghanistan,AFG,2022,0.56
Canada,CAN,2021,0.58
Canada,CAN,2022,0.6
Canada,CAN,2023,0.61
Guatemala,GTM,2021,0.37
Guatemala,GTM,2022,0.37
Guatemala,GTM,2023,0.38
Rwanda,RWA,2021,1.18
Rwanda,RWA,2022,1.18
Rwanda,RWA,2023,1.16
Tajikistan,TJK,2021,0.47
Tajikistan,TJK,2022,0.53
Tajikistan,TJK,2023,0.53
