Entity,Code,Year,Food exports (% of merchandise exports)
Brazil,BRA,1962,71.14927
Brazil,BRA,1970,63.25016
Brazil,BRA,1980,46.26332
Brazil,BRA,1990,27.688332
Brazil,BRA,2000,23.236473
Brazil,BRA,2010,30.335764
Brazil,BRA,2021,34.777164
Colombia,COL,1962,77.26459
Colombia,COL,1970,74.99956
Colombia,COL,1980,71.795334
Colombia,COL,2000,19.00768
Colombia,COL,2010,11.262569
Colombia,COL,2021,18.223255
France,FRA,1962,14.463805
France,FRA,1970,15.803191
France,FRA,1980,16.051989
France,FRA,1990,15.807551
France,FRA,2000,10.971657
France,FRA,2010,11.963721
France,FRA,2021,13.580069
Italy,ITA,1962,15.503615
Italy,ITA,1970,8.532045
Italy,ITA,1980,7.0169945
Italy,ITA,1990,6.31123
Italy,ITA,2000,6.1028614
Italy,ITA,2010,7.834451
Italy,ITA,2021,10.021984
Russia,RUS,2000,1.2474982
Russia,RUS,2010,1.8902378
Russia,RUS,2021,6.583564
