Entity,Code,Year,Cumulative CO₂ emissions from gas
Central African Republic,CAF,1950,0.0
Central African Republic,CAF,2000,0.0
Central African Republic,CAF,2022,0.0
Dominican Republic,DOM,1950,0.0
Dominican Republic,DOM,2000,0.0
Dominican Republic,DOM,2022,32848814.0
Ireland,IRL,1850,0.0
Ireland,IRL,1950,0.0
Ireland,IRL,2000,100328230.0
Ireland,IRL,2022,315372380.0
Lebanon,LBN,1950,0.0
Lebanon,LBN,2000,0.0
Lebanon,LBN,2022,578895.0
Luxembourg,LUX,1950,0.0
Luxembourg,LUX,2000,28336136.0
Luxembourg,LUX,2022,76480820.0
Saint Lucia,LCA,1950,0.0
Saint Lucia,LCA,2000,0.0
Saint Lucia,LCA,2022,0.0
South America,,1900,0.0
South America,,1950,69700024.0
South America,,2000,3121169000.0
South America,,2022,8304477000.0
Spain,ESP,1830,0.0
Spain,ESP,1850,0.0
Spain,ESP,1900,0.0
Spain,ESP,1950,7921210.0
Spain,ESP,2000,322217630.0
Spain,ESP,2022,1719799000.0
