Entity,Code,Year,"Deaths from cardiovascular diseases per 100,000 people in, both sexes aged all ages"
Australia,AUS,1950,462.99533
Australia,AUS,1960,464.3017
Australia,AUS,1970,490.7175
Australia,AUS,1980,381.55023
Australia,AUS,1990,315.06808
Australia,AUS,2000,260.17862
Australia,AUS,2010,204.14832
Australia,AUS,2021,166.17047
Brazil,BRA,1980,155.85202
Brazil,BRA,1990,154.1054
Brazil,BRA,2000,149.06602
Brazil,BRA,2010,166.75946
Canada,CAN,1950,405.6838
Canada,CAN,1960,389.34546
Canada,CAN,1970,362.87283
Canada,CAN,1980,337.21863
Canada,CAN,1990,282.51685
Canada,CAN,2000,248.21024
Canada,CAN,2010,198.26012
Germany,DEU,1990,583.3742
Germany,DEU,2000,480.66
Germany,DEU,2010,431.38443
Hungary,HUN,1960,453.23785
Hungary,HUN,1970,621.78973
Hungary,HUN,1980,718.16156
Hungary,HUN,1990,736.15857
Hungary,HUN,2000,687.06586
Hungary,HUN,2010,658.1884
Russia,RUS,1980,580.7201
Russia,RUS,1990,618.9422
Russia,RUS,2000,852.1585
Russia,RUS,2010,806.3852
South Africa,ZAF,2000,156.40335
South Africa,ZAF,2010,161.4426
Thailand,THA,1970,22.949997
Thailand,THA,1980,48.95091
Thailand,THA,1990,71.04542
Thailand,THA,2000,51.357655
Thailand,THA,2010,61.940258
United States,USA,1950,494.4176
United States,USA,1960,515.0672
United States,USA,1970,501.53766
United States,USA,1980,437.20917
United States,USA,1990,370.00754
United States,USA,2000,334.5596
United States,USA,2010,253.93361
