Entity,Code,Year,Rice | 00000027 || Production | 005510 || tonnes
Africa,,1961,4307909.0
Africa,,1970,7280424.0
Africa,,1980,8599638.0
Africa,,1990,12696110.0
Africa,,2000,17466410.0
Africa,,2010,25982150.0
Africa,,2021,37188988.0
Asia,,1961,198778130.0
Asia,,1970,290101280.0
Asia,,1980,360104900.0
Asia,,1990,477693380.0
Asia,,2000,545228860.0
Asia,,2010,627452800.0
Asia,,2021,708148400.0
Europe,,1961,1844996.0
Europe,,1970,2977167.0
Europe,,1980,4440056.0
Europe,,1990,4570432.0
Europe,,2000,3179464.8
Europe,,2010,4302084.0
Europe,,2021,3783853.5
North America,,1961,3434830.0
North America,,1970,5263238.0
North America,,1980,8747471.0
North America,,1990,9234850.0
North America,,2000,11198848.0
North America,,2010,13815436.0
North America,,2021,11519472.0
Oceania,,1961,142560.0
Oceania,,1970,274005.0
Oceania,,1980,645777.0
Oceania,,1990,952022.0
Oceania,,2000,1119192.9
Oceania,,2010,207924.23
Oceania,,2021,437147.28
South America,,1961,7136268.0
South America,,1970,10443426.0
South America,,1980,14325367.0
South America,,1990,13420768.0
South America,,2000,20467336.0
South America,,2010,22688106.0
South America,,2021,26215990.0
