Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)","Prevalence of stunting, height for age (% of children under 5)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Algeria,DZA,2020,10844.7705,,43451668.0,
Angola,AGO,2020,6032.275,,33428490.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,5591.374,,167420944.0,
Burkina Faso,BFA,2020,2093.7336,,21522632.0,
Burundi,BDI,2020,711.3553,,12220229.0,
Cameroon,CMR,2020,3665.5105,,26491090.0,
Chad,TCD,2020,1489.1868,,16644707.0,
China,CHN,2020,16296.779,,1424929792.0,
Colombia,COL,2020,13387.701,,50930656.0,
Costa Rica,CRI,2020,19824.348,,5123107.0,
Cote d'Ivoire,CIV,2020,5098.56,,26811792.0,
Democratic Republic of Congo,COD,2020,1044.0712,,92853168.0,
Ethiopia,ETH,2020,2253.2358,,117190920.0,
Europe,,2020,,,747462669.0,
Gambia,GMB,2020,2042.6202,17.5,2574005.0,
Germany,DEU,2020,51840.33,,83328992.0,
Ghana,GHA,2020,5263.5264,,32180402.0,
Guatemala,GTM,2020,8390.223,,17362716.0,
Haiti,HTI,2020,2959.0894,,11306804.0,
India,IND,2020,6114.0317,,1396387072.0,
Indonesia,IDN,2020,11515.74,,271857984.0,
Iraq,IRQ,2020,8919.798,,42556988.0,
Kiribati,KIR,2020,1944.8469,,126473.0,
Kuwait,KWT,2020,43922.63,,4360451.0,
Laos,LAO,2020,7763.9487,,7319397.0,
Lesotho,LSO,2020,2292.1953,,2254104.0,
Liberia,LBR,2020,1383.8281,,5087591.0,
Malaysia,MYS,2020,25830.973,,33199988.0,
Mali,MLI,2020,2123.8281,,21224042.0,
Mexico,MEX,2020,18327.99,,125998296.0,
Morocco,MAR,2020,7545.995,,36688768.0,
Nepal,NPL,2020,3761.8027,,29348626.0,
Niger,NER,2020,1214.5465,,24333644.0,
Nigeria,NGA,2020,4865.087,31.5,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,33098.21,,4543406.0,
Palestine,PSE,2020,5402.5386,8.7,5019407.0,
Panama,PAN,2020,25510.273,,4294391.0,
Senegal,SEN,2020,3383.8884,,16436120.0,
Serbia,SRB,2020,18265.967,,7358010.0,
South Africa,ZAF,2020,12815.909,,58801928.0,
South America,,2020,,,431530105.0,
Sri Lanka,LKA,2020,13095.761,,21715076.0,
Tanzania,TZA,2020,2551.2063,,61704520.0,
Tonga,TON,2020,6356.96,,105265.0,
Turkey,TUR,2020,28473.205,,84135432.0,
Uganda,UGA,2020,2240.4902,,44404608.0,
United States,USA,2020,60167.855,,335942016.0,
Uzbekistan,UZB,2020,7344.22,,33526662.0,
Vietnam,VNM,2020,10450.622,,96648680.0,
Zambia,ZMB,2020,3183.651,,18927716.0,
