Entity,Code,Year,"Deaths that are from all causes attributed to smoking per 100,000 people, in both sexes aged age-standardized",Continent,"Deaths that are from all causes attributed to smoking per 100,000 people, in both sexes aged age-standardized.1",Year.1
Afghanistan,AFG,1990,75.83769,,81.74982,2019.0
Afghanistan,AFG,2019,81.74982,,81.74982,2019.0
Albania,ALB,1990,147.21635,,102.6121,2019.0
Albania,ALB,2019,102.6121,,102.6121,2019.0
Algeria,DZA,1990,143.94376,,76.340706,2019.0
Algeria,DZA,2019,76.340706,,76.340706,2019.0
Andorra,AND,1990,116.02391,,74.12339,2019.0
Andorra,AND,2019,74.12339,,74.12339,2019.0
Antigua and Barbuda,ATG,1990,45.728844,,37.751446,2019.0
Antigua and Barbuda,ATG,2019,37.751446,,37.751446,2019.0
Armenia,ARM,1990,160.52524,,117.68663,2019.0
Armenia,ARM,2019,117.68663,,117.68663,2019.0
Australia,AUS,1990,125.4974,,44.65906,2019.0
Australia,AUS,2019,44.65906,,44.65906,2019.0
Azerbaijan,AZE,1990,136.26553,,145.31688,2019.0
Azerbaijan,AZE,2019,145.31688,,145.31688,2019.0
Bahamas,BHS,1990,61.15471,,40.429432,2019.0
Bahamas,BHS,2019,40.429432,,40.429432,2019.0
Bahrain,BHR,1990,212.4051,,82.734726,2019.0
Bahrain,BHR,2019,82.734726,,82.734726,2019.0
Benin,BEN,1990,78.66151,,42.393845,2019.0
Benin,BEN,2019,42.393845,,42.393845,2019.0
Bermuda,BMU,1990,93.51246,,46.010788,2019.0
Bermuda,BMU,2019,46.010788,,46.010788,2019.0
Bosnia and Herzegovina,BIH,1990,159.90015,,146.0475,2019.0
Bosnia and Herzegovina,BIH,2019,146.0475,,146.0475,2019.0
Brazil,BRA,1990,179.83685,,73.121445,2019.0
Brazil,BRA,2019,73.121445,,73.121445,2019.0
Brunei,BRN,1990,249.59015,,113.56838,2019.0
Brunei,BRN,2019,113.56838,,113.56838,2019.0
Bulgaria,BGR,1990,211.69553,,148.83693,2019.0
Bulgaria,BGR,2019,148.83693,,148.83693,2019.0
China,CHN,1990,216.52554,,129.64526,2019.0
China,CHN,2019,129.64526,,129.64526,2019.0
Croatia,HRV,1990,208.24942,,108.72878,2019.0
Croatia,HRV,2019,108.72878,,108.72878,2019.0
East Asia & Pacific (WB),,1990,181.77223,,111.73713,2019.0
East Asia & Pacific (WB),,2019,111.73713,,111.73713,2019.0
Egypt,EGY,1990,118.60111,,125.599045,2019.0
Egypt,EGY,2019,125.599045,,125.599045,2019.0
G20,,1990,162.97224,,98.18935,2019.0
G20,,2019,98.18935,,98.18935,2019.0
Greenland,GRL,1990,332.2135,,193.32458,2019.0
Greenland,GRL,2019,193.32458,,193.32458,2019.0
Kiribati,KIR,1990,407.5952,,367.99942,2019.0
Kiribati,KIR,2019,367.99942,,367.99942,2019.0
Laos,LAO,1990,260.0128,,150.39758,2019.0
Laos,LAO,2019,150.39758,,150.39758,2019.0
Lesotho,LSO,1990,141.72527,,174.92958,2019.0
Lesotho,LSO,2019,174.92958,,174.92958,2019.0
Libya,LBY,1990,93.49474,,74.33879,2019.0
Libya,LBY,2019,74.33879,,74.33879,2019.0
Micronesia (country),FSM,1990,283.0302,,233.65141,2019.0
Micronesia (country),FSM,2019,233.65141,,233.65141,2019.0
Monaco,MCO,1990,122.4202,,100.23117,2019.0
Monaco,MCO,2019,100.23117,,100.23117,2019.0
Mongolia,MNG,1990,191.531,,166.60367,2019.0
Mongolia,MNG,2019,166.60367,,166.60367,2019.0
Myanmar,MMR,1990,336.29733,,147.41077,2019.0
Myanmar,MMR,2019,147.41077,,147.41077,2019.0
Nepal,NPL,1990,259.2389,,186.78165,2019.0
Nepal,NPL,2019,186.78165,,186.78165,2019.0
Niger,NER,1990,26.943735,,28.218597,2019.0
Niger,NER,2019,28.218597,,28.218597,2019.0
Peru,PER,1990,30.542574,,14.02026,2019.0
Peru,PER,2019,14.02026,,14.02026,2019.0
Russia,RUS,1990,141.38052,,124.71015,2019.0
Russia,RUS,2019,124.71015,,124.71015,2019.0
Slovakia,SVK,1990,183.00351,,88.82746,2019.0
Slovakia,SVK,2019,88.82746,,88.82746,2019.0
Sri Lanka,LKA,1990,109.89579,,46.13525,2019.0
Sri Lanka,LKA,2019,46.13525,,46.13525,2019.0
Tuvalu,TUV,1990,229.72017,,165.92346,2019.0
Tuvalu,TUV,2019,165.92346,,165.92346,2019.0
Uzbekistan,UZB,1990,81.72725,,109.82809,2019.0
Uzbekistan,UZB,2019,109.82809,,109.82809,2019.0
