Entity,Code,Year,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Cereal yield (kg per hectare),Continent
Albania,ALB,2011,,4.7507,
Angola,AGO,2011,,0.6624,
Armenia,ARM,2011,1.2,2.789,
Australia,AUS,2011,,2.0975,
Austria,AUT,2011,0.4,7.0567,
Belgium,BEL,2011,0.2,9.009,
Benin,BEN,2011,53.2,1.5178,
Bolivia,BOL,2011,7.2,2.0453,
Brazil,BRA,2011,4.7,4.0375,
Burkina Faso,BFA,2011,,0.9951,
Chad,TCD,2011,38.1,0.632,
Cote d'Ivoire,CIV,2011,,1.8828,
Greece,GRC,2011,1.2,4.3441,
Guinea,GIN,2011,,1.226,
Honduras,HND,2011,16.0,1.7115,
Kazakhstan,KAZ,2011,0.0,1.6886,
Laos,LAO,2011,,4.0433,
Low income,,2011,47.7,1.3220009,
Malawi,MWI,2011,,2.0943,
Mexico,MEX,2011,,3.2401999999999997,
Niger,NER,2011,50.6,0.3628,
Nigeria,NGA,2011,,1.3344,
Senegal,SEN,2011,38.5,0.9669,
Tanzania,TZA,2011,49.6,1.3904,
Uganda,UGA,2011,,2.0569,
United Arab Emirates,ARE,2011,,24.0643,
Vanuatu,VUT,2011,,0.5708,
