Entity,Code,Year,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
Bosnia and Herzegovina,BIH,2008,0
Bosnia and Herzegovina,BIH,2010,0
Bosnia and Herzegovina,BIH,2012,0
Bosnia and Herzegovina,BIH,2014,0
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2018,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Brazil,BRA,2008,3
Brazil,BRA,2010,3
Brazil,BRA,2012,3
Brazil,BRA,2014,4
Brazil,BRA,2016,5
Brazil,BRA,2018,4
Brazil,BRA,2020,4
New Caledonia,NCL,2008,0
New Caledonia,NCL,2010,0
New Caledonia,NCL,2012,0
New Caledonia,NCL,2014,0
New Caledonia,NCL,2016,0
New Caledonia,NCL,2018,0
Saudi Arabia,SAU,2008,7
Saudi Arabia,SAU,2010,7
Saudi Arabia,SAU,2012,7
Saudi Arabia,SAU,2020,7
