Entity,Code,Year,Sovereign state
Hanover,OWID_HAN,1816,1
Hanover,OWID_HAN,1850,1
Hanover,OWID_HAN,1900,0
Hanover,OWID_HAN,1950,0
Hanover,OWID_HAN,2000,0
Hanover,OWID_HAN,2007,0
Hanover,OWID_HAN,2022,0
Moldova,MDA,1816,0
Moldova,MDA,1850,0
Moldova,MDA,1900,0
Moldova,MDA,1950,0
Moldova,MDA,2000,1
Moldova,MDA,2007,1
Moldova,MDA,2022,1
Somalia,SOM,1816,0
Somalia,SOM,1850,0
Somalia,SOM,1900,0
Somalia,SOM,1950,0
Somalia,SOM,2000,1
Somalia,SOM,2007,1
Somalia,SOM,2022,1
United Provinces of Central America,,1816,0
United Provinces of Central America,,1850,0
United Provinces of Central America,,1900,0
United Provinces of Central America,,1950,0
United Provinces of Central America,,2000,0
United Provinces of Central America,,2007,0
United Provinces of Central America,,2022,0
