Entity,Code,Year,Weekly home production time by demographic group (Ramey and Francis (2009))
Ages 14+ (female),,1900,42.5
Ages 14+ (female),,1920,40.700001
Ages 14+ (female),,1940,38.599998
Ages 14+ (female),,1960,38.099998
Ages 14+ (female),,1980,28.0
Ages 14+ (female),,2005,27.6
Ages 14+ (male),,1900,4.0
Ages 14+ (male),,1920,4.0999999
Ages 14+ (male),,1940,7.5999999
Ages 14+ (male),,1960,10.7
Ages 14+ (male),,1980,12.9
Ages 14+ (male),,2005,16.4
Ages 14+ (total),,1900,22.799999
Ages 14+ (total),,1920,22.0
Ages 14+ (total),,1940,23.200001
Ages 14+ (total),,1960,24.9
Ages 14+ (total),,1980,20.799999
Ages 14+ (total),,2005,22.200001
