Entity,Code,Year,It is important to this person living in secure surroundings: Very much like me,It is important to this person living in secure surroundings: Like me,It is important to this person living in secure surroundings: Somewhat like me,It is important to this person living in secure surroundings: A little like me,It is important to this person living in secure surroundings: Not like me,It is important to this person living in secure surroundings: Not at all like me,It is important to this person living in secure surroundings: Don't know,It is important to this person living in secure surroundings: No answer
Brazil,BRA,2014,34.82763,47.48404,9.636808,2.77886,3.600471,1.190502,0.3963222,0.0853647
China,CHN,2014,11.38603,35.58925,27.55751,13.01205,6.038311,1.386537,0.1157968,4.914516
Egypt,EGY,2014,29.78807,28.38775,26.12975,10.78823,4.302683,0.6035126,0.0,0.0
Germany,DEU,2014,16.55825,23.54719,21.10425,16.93875,15.9384,5.40026,0.3534215,0.1594696
Japan,JPN,2014,6.467458,16.41424,23.20917,30.78183,12.68932,2.455997,7.981989,0.0
Mexico,MEX,2014,43.5,31.75,13.2,5.35,2.1,3.8,0.15,0.15
Morocco,MAR,2014,23.5,37.16667,14.25,11.75,3.416667,0.5833333,5.333333,4.0
Russia,RUS,2014,20.93329,33.67421,23.76067,16.02359,0.0,0.0,4.826739,0.7814897
Ukraine,UKR,2014,20.07303,26.39401,24.83117,17.15601,9.065246,2.480536,0.0,0.0
United States,USA,2014,19.09752,28.57034,25.04894,17.63923,6.233675,1.723064,0.0,1.687223
