Entity,Code,Year,Imports of pandemic-related customs (per-capita)
Australia,AUS,1988,3.0644486
Australia,AUS,1990,4.4079723
Australia,AUS,1995,6.1492996
Australia,AUS,2000,7.473525
Australia,AUS,2005,12.416695
Australia,AUS,2010,22.459785
Australia,AUS,2015,27.778423
Australia,AUS,2020,98.49226
Australia,AUS,2022,50.105263
Brazil,BRA,1990,0.044196688
Brazil,BRA,1995,0.14471255
Brazil,BRA,2000,0.25801715
Brazil,BRA,2005,0.5261909
Brazil,BRA,2010,1.6377696
Brazil,BRA,2015,1.6585432
Brazil,BRA,2020,4.6004314
Brazil,BRA,2022,2.1053295
Chile,CHL,1990,0.4784027
Chile,CHL,1995,1.1023756
Chile,CHL,2000,1.2469693
Chile,CHL,2005,3.1231728
Chile,CHL,2010,7.079309
Chile,CHL,2015,7.879195
Chile,CHL,2020,28.755545
Chile,CHL,2022,14.026139
China,CHN,1995,0.036824606
China,CHN,2000,0.036822956
China,CHN,2005,0.11272455
China,CHN,2010,0.20481971
China,CHN,2015,0.27037752
China,CHN,2020,1.4000022
China,CHN,2022,0.5174525
Germany,DEU,1995,6.5163918
Germany,DEU,2000,7.25508
Germany,DEU,2005,11.197705
Germany,DEU,2010,22.924467
Germany,DEU,2015,25.490898
Germany,DEU,2020,127.87884
Germany,DEU,2022,34.251705
India,IND,1988,0.0028218522
India,IND,1990,0.0032917387
India,IND,1995,0.0034570582
India,IND,2000,0.010950571
India,IND,2005,0.01936063
India,IND,2010,0.051538955
India,IND,2015,0.08760108
India,IND,2020,0.32180136
India,IND,2022,0.13787894
Philippines,PHL,2000,0.34632286
Philippines,PHL,2005,0.27271003
Philippines,PHL,2010,0.16752313
Philippines,PHL,2015,0.3006605
Philippines,PHL,2020,1.3426651
Philippines,PHL,2022,1.1060272
South Africa,ZAF,2000,0.61407524
South Africa,ZAF,2005,1.2264869
South Africa,ZAF,2010,0.0
South Africa,ZAF,2015,0.0
South Africa,ZAF,2020,0.0
South Africa,ZAF,2022,0.0
South Korea,KOR,1988,0.21932058
South Korea,KOR,1990,0.30109122
South Korea,KOR,1995,0.74989605
South Korea,KOR,2000,0.8737905
South Korea,KOR,2005,2.1571856
South Korea,KOR,2010,5.5772734
South Korea,KOR,2015,7.470645
South Korea,KOR,2020,22.563372
Sweden,SWE,1995,9.706288
Sweden,SWE,2000,9.690723
Sweden,SWE,2005,16.579693
Sweden,SWE,2010,27.96762
Sweden,SWE,2015,31.00156
Sweden,SWE,2020,65.025154
Sweden,SWE,2022,45.26999
United States,USA,1995,8.246588
United States,USA,2000,11.109191
United States,USA,2005,16.362284
United States,USA,2010,22.281115
United States,USA,2015,28.173578
United States,USA,2020,89.231155
United States,USA,2022,32.53024
