Entity,Code,Year,number_employed_agri
New Caledonia,NCL,1991,6474.40173436365
New Caledonia,NCL,1995,6775.05
New Caledonia,NCL,2000,5060.5826112768
New Caledonia,NCL,2005,3390.4465260065404
New Caledonia,NCL,2010,3106.6485535225797
New Caledonia,NCL,2015,2788.57484924766
New Caledonia,NCL,2019,2486.63250664875
Nigeria,NGA,1991,16620863.03751217
Nigeria,NGA,1995,18303908.816677157
Nigeria,NGA,2000,20201880.075
Nigeria,NGA,2005,21022299.512938205
Nigeria,NGA,2010,21980256.15137689
Nigeria,NGA,2015,20153441.492165893
Nigeria,NGA,2019,22110384.755365983
Panama,PAN,1991,262002.7337061508
Panama,PAN,1995,235673.55938885035
Panama,PAN,2000,220144.6736489198
Panama,PAN,2005,234498.0110361213
Panama,PAN,2010,285653.16131184
Panama,PAN,2015,272596.1810865504
Panama,PAN,2019,301535.875461181
Saint Lucia,LCA,1991,13733.0349419446
Saint Lucia,LCA,1995,14773.7117699176
Saint Lucia,LCA,2000,14267.3395900866
Saint Lucia,LCA,2005,14001.039343347402
Saint Lucia,LCA,2010,13572.705811498798
Saint Lucia,LCA,2015,11742.5274764152
Saint Lucia,LCA,2019,10799.30488920906
Slovenia,SVN,1991,101388.3642029755
Slovenia,SVN,1995,98088.7028539026
Slovenia,SVN,2000,92278.46766230154
Slovenia,SVN,2005,92833.08290474767
Slovenia,SVN,2010,92062.71581642526
Slovenia,SVN,2015,71570.44483172968
Slovenia,SVN,2019,44003.4097590457
Sub-Saharan Africa (excluding high income),,1991,127031390.82809168
Sub-Saharan Africa (excluding high income),,1995,141728688.29192102
Sub-Saharan Africa (excluding high income),,2000,160809528.93504813
Sub-Saharan Africa (excluding high income),,2005,180309842.61829755
Sub-Saharan Africa (excluding high income),,2010,194968208.36071533
Sub-Saharan Africa (excluding high income),,2015,207279151.04180917
Sub-Saharan Africa (excluding high income),,2019,226694522.01036048
Sudan,SDN,1991,3059810.8382104025
Sudan,SDN,1995,3658770.656317039
Sudan,SDN,2000,4039312.569448543
Sudan,SDN,2005,4335390.108532765
Sudan,SDN,2010,4444711.5373633215
Sudan,SDN,2015,4568720.475
Sudan,SDN,2019,4770928.352856126
Togo,TGO,1991,612326.8384311544
Togo,TGO,1995,664494.3463866246
Togo,TGO,2000,772512.96
Togo,TGO,2005,874047.0622045113
Togo,TGO,2010,961682.8928566728
Togo,TGO,2015,971466.0005857924
Togo,TGO,2019,908092.9206080108
