Entity,Code,Year,Eggs | 00001783 || Yield | 005410 || kilograms per animal
Barbados,BRB,2000,1.5014
Barbados,BRB,2010,2.5927
Barbados,BRB,2021,2.7277
Finland,FIN,1961,12.5
Finland,FIN,1970,14.605599
Finland,FIN,1980,13.028299
Finland,FIN,1990,16.1215
Finland,FIN,2000,18.810299
Finland,FIN,2010,18.1202
Finland,FIN,2021,18.505999
Portugal,PRT,1961,9.625
Portugal,PRT,1970,10.440599
Portugal,PRT,1980,11.8592
Portugal,PRT,1990,13.2667
Portugal,PRT,2000,24.1605
Portugal,PRT,2010,20.2732
Portugal,PRT,2021,19.5226
