Entity,Code,Year,PCV3 (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized),Continent
Afghanistan,AFG,2021,65.0,66.0,
Albania,ALB,2021,89.0,98.0,
Andorra,AND,2021,95.0,99.0,
Angola,AGO,2021,34.0,45.0,
Argentina,ARG,2021,74.0,76.0,
Bahamas,BHS,2021,82.0,75.0,
Barbados,BRB,2021,83.0,82.0,
Bolivia,BOL,2021,70.0,70.0,
Burkina Faso,BFA,2021,66.0,91.0,
Canada,CAN,2021,84.0,92.0,
Central African Republic,CAF,2021,40.0,42.0,
Cote d'Ivoire,CIV,2021,57.0,76.0,
Croatia,HRV,2021,75.0,92.0,
Djibouti,DJI,2021,59.0,59.0,
Dominican Republic,DOM,2021,71.0,84.0,
El Salvador,SLV,2021,94.0,79.0,
Eswatini,SWZ,2021,63.0,77.0,
Ethiopia,ETH,2021,61.0,65.0,
Gambia,GMB,2021,78.0,82.0,
Haiti,HTI,2021,51.0,51.0,
India,IND,2021,25.0,85.0,
Indonesia,IDN,2021,1.0,67.0,
Iraq,IRQ,2021,0.0,78.0,
Madagascar,MDG,2021,54.0,55.0,
Marshall Islands,MHL,2021,61.0,86.0,
Mozambique,MOZ,2021,70.0,61.0,
North Macedonia,MKD,2021,53.0,81.0,
Papua New Guinea,PNG,2021,32.0,31.0,
Samoa,WSM,2021,3.0,85.0,
South-East Asia Region (WHO),,2021,29.0,82.0,
Venezuela,VEN,2021,0.0,56.0,
Western Pacific Region (WHO),,2021,19.0,90.0,
