Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,People practicing open defecation (% of population),Population (historical estimates),Continent
Afghanistan,AFG,2020,5.779781,10.783761,38972236.0,
Africa,,2020,,,1360677453.0,
Angola,AGO,2020,7.2074304,17.96832,33428490.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,2.8767538,0.0,167420944.0,
Benin,BEN,2020,8.603434,51.575817,12643121.0,
Burkina Faso,BFA,2020,8.535078,39.920803,21522632.0,
Burundi,BDI,2020,5.46112,2.5848312,12220229.0,
Cambodia,KHM,2020,2.5790513,19.279203,16396864.0,
Cameroon,CMR,2020,7.2423186,5.5458937,26491090.0,
Cape Verde,CPV,2020,1.4221199,14.448112,582646.0,
Central African Republic,CAF,2020,10.304561,25.14773,5343024.0,
China,CHN,2020,0.74388134,0.32134447,1424929792.0,
Cote d'Ivoire,CIV,2020,7.7282243,25.25768,26811792.0,
Democratic Republic of Congo,COD,2020,8.167984,12.025384,92853168.0,
Djibouti,DJI,2020,5.5950885,16.182102,1090162.0,
Egypt,EGY,2020,1.9584423,0.0,107465128.0,
Ethiopia,ETH,2020,4.874897,16.995176,117190920.0,
Europe,,2020,0.4562716,,747462669.0,
Gambia,GMB,2020,4.963262,0.10025675,2574005.0,
Guinea,GIN,2020,10.156269,11.808297,13205157.0,
Guinea-Bissau,GNB,2020,7.6977134,10.328068,2015839.0,
Haiti,HTI,2020,6.0505757,18.133265,11306804.0,
India,IND,2020,3.2376912,14.926927,1396387072.0,
Indonesia,IDN,2020,2.293901,6.106439,271857984.0,
Kenya,KEN,2020,3.8572624,8.50634,51985780.0,
Kiribati,KIR,2020,4.9804363,29.771303,126473.0,
Liberia,LBR,2020,7.8294916,37.683025,5087591.0,
Madagascar,MDG,2020,6.611898,42.376724,28225182.0,
Mali,MLI,2020,10.005843,4.936144,21224042.0,
Marshall Islands,MHL,2020,3.0721679,9.754286,43437.0,
Mauritania,MRT,2020,4.182714,30.674967,4498605.0,
Myanmar,MMR,2020,4.3236055,6.99607,53423200.0,
Namibia,NAM,2020,4.027695,47.15931,2489099.0,
Nicaragua,NIC,2020,1.4034797,6.791773,6755900.0,
Niger,NER,2020,11.631723,68.10619,24333644.0,
Nigeria,NGA,2020,11.381948,18.662498,208327408.0,
North America,,2020,0.62337565,,594263186.0,
Oceania,,2020,2.082356,,43933757.0,
Pakistan,PAK,2020,6.547601,7.3033595,227196736.0,
Papua New Guinea,PNG,2020,4.417218,16.131592,9749641.0,
Peru,PER,2020,1.453821,4.397771,33304768.0,
Russia,RUS,2020,0.5413688,0.0,145617328.0,
Rwanda,RWA,2020,4.068056,1.9664978,13146367.0,
San Marino,SMR,2020,0.17836553,0.0,34038.0,
Solomon Islands,SLB,2020,1.9392262,44.790947,691198.0,
Somalia,SOM,2020,11.488565,23.121029,16537018.0,
South America,,2020,,,431530105.0,
South Sudan,SSD,2020,9.868964,60.127193,10606224.0,
Sudan,SDN,2020,5.6584706,24.007862,44440484.0,
Tanzania,TZA,2020,4.8996468,10.894851,61704520.0,
Zimbabwe,ZWE,2020,5.17696,23.498632,15669663.0,
