Entity,Code,Year,Urban population (% of total population)
Brazil,BRA,1960,46.139
Brazil,BRA,1970,55.909
Brazil,BRA,1980,65.468
Brazil,BRA,1990,73.922
Brazil,BRA,2000,81.192
Brazil,BRA,2010,84.335
Brazil,BRA,2021,87.317
China,CHN,1960,16.203
China,CHN,1970,17.4
China,CHN,1980,19.358
China,CHN,1990,26.442
China,CHN,2000,35.877
China,CHN,2010,49.226
China,CHN,2021,62.512
India,IND,1960,17.924
India,IND,1970,19.76
India,IND,1980,23.098
India,IND,1990,25.547
India,IND,2000,27.667
India,IND,2010,30.93
India,IND,2021,35.393
South Africa,ZAF,1960,46.619
South Africa,ZAF,1970,47.809
South Africa,ZAF,1980,48.425
South Africa,ZAF,1990,52.037
South Africa,ZAF,2000,56.891
South Africa,ZAF,2010,62.218
South Africa,ZAF,2021,67.847
United States,USA,1960,69.996
United States,USA,1970,73.602
United States,USA,1980,73.738
United States,USA,1990,75.3
United States,USA,2000,79.057
United States,USA,2010,80.772
United States,USA,2021,82.873
Vietnam,VNM,1960,14.7
Vietnam,VNM,1970,18.3
Vietnam,VNM,1980,19.247
Vietnam,VNM,1990,20.257
Vietnam,VNM,2000,24.374
Vietnam,VNM,2010,30.417
Vietnam,VNM,2021,38.052
World,OWID_WRL,1960,33.602
World,OWID_WRL,1970,36.505287
World,OWID_WRL,1980,39.32971
World,OWID_WRL,1990,43.003345
World,OWID_WRL,2000,46.657852
World,OWID_WRL,2010,51.57839
World,OWID_WRL,2021,56.477543
