Entity,Code,Year,Nuclear weapons status
Croatia,HRV,1938,0
Croatia,HRV,1960,0
Croatia,HRV,1980,0
Croatia,HRV,2000,0
Croatia,HRV,2023,0
Micronesia (country),FSM,1938,0
Micronesia (country),FSM,1960,0
Micronesia (country),FSM,1980,0
Micronesia (country),FSM,2000,0
Micronesia (country),FSM,2023,0
Montenegro,MNE,1938,0
Montenegro,MNE,1960,0
Montenegro,MNE,1980,0
Montenegro,MNE,2000,0
Montenegro,MNE,2023,0
New Zealand,NZL,1938,0
New Zealand,NZL,1960,0
New Zealand,NZL,1980,0
New Zealand,NZL,2000,0
New Zealand,NZL,2023,0
