Entity,Code,Year,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease - Sex: male","Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease - Sex: female",Population (historical estimates),Continent
Afghanistan,AFG,2019,34.37412,36.16185,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bulgaria,BGR,2019,32.14942,16.38867,7052536.0,
Chad,TCD,2019,22.91541,22.6121,16126868.0,
China,CHN,2019,20.23156,11.2267,1421864064.0,
Colombia,COL,2019,10.77118,8.85334,50187404.0,
Cuba,CUB,2019,19.8425,13.46613,11316699.0,
Democratic Republic of Congo,COD,2019,25.97752,22.24394,89906896.0,
Egypt,EGY,2019,32.73745,23.21557,105618672.0,
Eritrea,ERI,2019,29.49623,24.34764,3498819.0,
Estonia,EST,2019,22.09626,8.83945,1327039.0,
Ethiopia,ETH,2019,17.3688,16.90312,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,14.0,7.33377,64399760.0,
Greece,GRC,2019,17.23038,7.97049,10574026.0,
Haiti,HTI,2019,29.92362,32.60979,11160441.0,
India,IND,2019,24.56677,18.9743,1383112064.0,
Indonesia,IDN,2019,28.37395,21.08994,269582880.0,
Japan,JPN,2019,10.85234,5.66297,125791680.0,
Kenya,KEN,2019,22.68581,19.60495,50951452.0,
Kiribati,KIR,2019,58.35062,43.67183,124252.0,
Kyrgyzstan,KGZ,2019,26.54138,15.01775,6323643.0,
Latin America and the Caribbean (UN),,2019,13.7,9.8,646846784.0,
Lesotho,LSO,2019,49.35137,37.47267,2225710.0,
Libya,LBY,2019,19.69809,17.55534,6569085.0,
Mali,MLI,2019,19.97751,24.31758,20567430.0,
Micronesia (country),FSM,2019,52.08028,39.93985,111392.0,
Mongolia,MNG,2019,44.84644,25.69048,3232435.0,
Mozambique,MOZ,2019,38.84523,23.87074,30285602.0,
Namibia,NAM,2019,29.63891,17.34259,2446648.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,31.8369,26.8502,223293280.0,
Papua New Guinea,PNG,2019,40.2877,31.61828,9542492.0,
Qatar,QAT,2019,10.07819,13.2379,2807242.0,
Russia,RUS,2019,35.00043,15.24968,145742288.0,
Senegal,SEN,2019,19.12423,19.85716,16000783.0,
Solomon Islands,SLB,2019,44.07821,33.91491,675000.0,
South America,,2019,,,428318218.0,
United States,USA,2019,16.11407,11.0897,334319680.0,
Vietnam,VNM,2019,29.10897,13.7259,95776712.0,
World,OWID_WRL,2019,21.4,14.2,7764951040.0,
