Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Rate),Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Total,Continent
Afghanistan,AFG,2019,61.83,45.649582,
Algeria,DZA,2019,5.93,84.50756,
Angola,AGO,2019,137.7,26.959799,
Armenia,ARM,2019,3.25,94.4005,
Bangladesh,BGD,2019,12.62,55.129333,
Benin,BEN,2019,130.61,11.466156,
Bolivia,BOL,2019,18.89,26.91136,
Burkina Faso,BFA,2019,226.25,8.980982,
Burundi,BDI,2019,271.52,6.14288,
Cambodia,KHM,2019,18.31,76.8491,
Cameroon,CMR,2019,320.21,36.27063,
Central African Republic,CAF,2019,642.86,20.963879,
Colombia,COL,2019,6.53,69.72461,
Congo,COG,2019,126.15,48.18578,
Cote d'Ivoire,CIV,2019,99.15,20.947483,
Egypt,EGY,2019,71.42,89.82824,
Fiji,FJI,2019,28.68,86.36596,
Gambia,GMB,2019,60.73,12.912024,
Guatemala,GTM,2019,48.89,76.76642,
Guinea,GIN,2019,130.3,20.401705,
Haiti,HTI,2019,204.11,22.264591,
India,IND,2019,47.24,70.1336,
Kenya,KEN,2019,122.31,37.44705,
Kiribati,KIR,2019,53.34,55.519485,
Lesotho,LSO,2019,161.57,5.480229,
Liberia,LBR,2019,214.87,2.6479285,
Madagascar,MDG,2019,278.5,23.549332,
Malawi,MWI,2019,103.6,15.295417,
Mali,MLI,2019,159.29,16.886597,
Mauritania,MRT,2019,154.77,45.91327,
Niger,NER,2019,473.44,22.381481,
Nigeria,NGA,2019,395.43,30.716843,
Pakistan,PAK,2019,106.07,75.98731,
Papua New Guinea,PNG,2019,95.05,29.73014,
Somalia,SOM,2019,255.38,24.869942,
Togo,TGO,2019,376.0,17.052315,
Uganda,UGA,2019,63.37,26.639692,
World,OWID_WRL,2019,75.53,74.96213,
