Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized",Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Continent
Afghanistan,AFG,2019,179.45535,32.45,
Albania,ALB,2019,17.543667,81.6,
Algeria,DZA,2019,0.23338939,99.7,
Angola,AGO,2019,68.38518,49.3,
Bangladesh,BGD,2019,79.25479,23.5,
Benin,BEN,2019,143.48445,4.8,
Bhutan,BTN,2019,70.04097,84.6,
Bosnia and Herzegovina,BIH,2019,20.105274,41.9,
Botswana,BWA,2019,50.056385,64.8,
Burkina Faso,BFA,2019,175.1003,10.3,
Burundi,BDI,2019,186.15117,0.2,
Cambodia,KHM,2019,133.12271,34.5,
Central African Republic,CAF,2019,251.24039,0.8,
Chad,TCD,2019,195.55023,6.6,
Comoros,COM,2019,113.36182,9.6,
Congo,COG,2019,66.66997,32.2,
Cook Islands,COK,2019,2.9606822,79.3,
Cote d'Ivoire,CIV,2019,118.36305,28.7,
Djibouti,DJI,2019,32.754246,9.2,
East Timor,TLS,2019,134.43195,12.85,
Equatorial Guinea,GNQ,2019,16.91805,24.0,
Eswatini,SWZ,2019,85.76491,54.7,
Ethiopia,ETH,2019,129.95076,6.2,
Fiji,FJI,2019,44.900414,47.9,
Gabon,GAB,2019,7.2117834,88.8,
Georgia,GEO,2019,25.903658,87.6,
Indonesia,IDN,2019,40.952076,81.6,
Kenya,KEN,2019,97.86996,19.5,
Liberia,LBR,2019,122.113075,0.4,
Mali,MLI,2019,156.12474,0.9,
Marshall Islands,MHL,2019,73.07068,66.1,
Montenegro,MNE,2019,17.734922,62.0,
Nicaragua,NIC,2019,45.45284,55.2,
Nigeria,NGA,2019,83.22526,12.8,
Pakistan,PAK,2019,92.62799,47.6,
Palau,PLW,2019,0.062324412,44.65,
Papua New Guinea,PNG,2019,229.51721,9.3,
Samoa,WSM,2019,100.90056,35.3,
Solomon Islands,SLB,2019,397.25952,8.9,
Somalia,SOM,2019,272.01663,3.1,
Sudan,SDN,2019,59.142162,58.0,
Tuvalu,TUV,2019,17.637321,72.5,
Vietnam,VNM,2019,40.38294,93.0,
