Entity,Code,Year,Domestic guests in tourism accommodation (hotels and similar establishments)
Angola,AGO,2005,47000.0
Angola,AGO,2010,152000.0
Angola,AGO,2015,264000.0
Angola,AGO,2021,216000.0
Georgia,GEO,2000,43000.0
Georgia,GEO,2005,89000.0
Georgia,GEO,2010,290000.0
Georgia,GEO,2015,685000.0
Liechtenstein,LIE,2000,1300.0
Liechtenstein,LIE,2005,1300.0
Liechtenstein,LIE,2010,2000.0
Liechtenstein,LIE,2015,500.0
Liechtenstein,LIE,2021,2000.0
Luxembourg,LUX,2000,18000.0
Luxembourg,LUX,2005,29000.0
Luxembourg,LUX,2010,34000.0
Luxembourg,LUX,2015,69000.0
Luxembourg,LUX,2021,67000.0
Netherlands,NLD,1998,7062000.0
Netherlands,NLD,2000,7801000.0
Netherlands,NLD,2005,8301000.0
Netherlands,NLD,2010,10499000.0
Netherlands,NLD,2015,12410000.0
Netherlands,NLD,2021,13113000.0
