Entity,Code,Year,Diabetes prevalence (% of population ages 20 to 79),"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,10.9,1516.3057,
Albania,ALB,2021,10.2,14518.906,
Algeria,DZA,2021,7.1,11039.806,
Angola,AGO,2021,4.6,5908.57,
Antigua and Barbuda,ATG,2021,11.7,19124.43,
Argentina,ARG,2021,5.4,21527.195,
Armenia,ARM,2021,5.6,14193.117,
Aruba,ABW,2021,4.3,38866.332,
Australia,AUS,2021,6.4,49774.34,
Austria,AUT,2021,4.6,54121.145,
Bahamas,BHS,2021,8.8,30210.162,
Bahrain,BHR,2021,11.3,49387.418,
Bangladesh,BGD,2021,14.2,5911.013,
Barbados,BRB,2021,14.0,13754.803,
Belize,BLZ,2021,14.5,8762.623,
Benin,BEN,2021,1.1,3321.5522,
Bermuda,BMU,2021,13.0,80271.13,
Bhutan,BTN,2021,10.4,10907.856,
Bolivia,BOL,2021,5.5,8052.1772,
Brazil,BRA,2021,8.8,14592.353,
Bulgaria,BGR,2021,7.4,24398.13,
Burundi,BDI,2021,6.5,705.0304,
Cambodia,KHM,2021,7.3,4354.5654,
Cameroon,CMR,2021,5.5,3700.4644,
Canada,CAN,2021,7.7,47892.945,
Cape Verde,CPV,2021,2.1,6114.1333,
Chad,TCD,2021,5.8,1425.4945,
Comoros,COM,2021,11.7,3228.5269,
Dominica,DMA,2021,11.7,10878.037,
East Timor,TLS,2021,8.6,5032.41,
Ecuador,ECU,2021,4.4,10668.758,
Egypt,EGY,2021,20.9,11566.05,
Ethiopia,ETH,2021,5.0,2319.0684,
Fiji,FJI,2021,17.7,10359.204,
Gambia,GMB,2021,1.9,2076.5664,
Guatemala,GTM,2021,13.1,8926.7,
Haiti,HTI,2021,8.9,2870.145,
Hungary,HUN,2021,7.0,33593.152,
Iraq,IRQ,2021,10.7,8962.395,
Ireland,IRL,2021,3.0,102496.22,
Kiribati,KIR,2021,22.1,1937.0894,
Kuwait,KWT,2021,24.9,,
Liberia,LBR,2021,2.1,1423.2296,
Libya,LBY,2021,8.7,21965.174,
Luxembourg,LUX,2021,5.9,115683.49,
Macao,MAC,2021,7.8,64796.996,
Madagascar,MDG,2021,4.6,1463.6288,
Malawi,MWI,2021,7.3,1491.1339,
Malaysia,MYS,2021,19.0,26333.156,
Marshall Islands,MHL,2021,23.0,5961.8164,
Mauritius,MUS,2021,22.6,20967.947,
Mexico,MEX,2021,16.9,19086.105,
Micronesia (country),FSM,2021,15.6,3315.2302,
Middle East and North Africa (WB),,2021,12.873639,15779.084,
Morocco,MAR,2021,9.1,8058.397,
Mozambique,MOZ,2021,3.3,1226.767,
Nauru,NRU,2021,23.4,11947.395,
Nepal,NPL,2021,8.7,3831.9485,
Pakistan,PAK,2021,30.8,5232.1426,
Palau,PLW,2021,17.0,13785.397,
Papua New Guinea,PNG,2021,16.7,3677.4602,
Qatar,QAT,2021,19.5,92862.35,
Rwanda,RWA,2021,6.5,2238.9573,
Saint Kitts and Nevis,KNA,2021,16.1,26485.816,
Saudi Arabia,SAU,2021,18.7,44339.312,
Senegal,SEN,2021,3.1,3495.4036,
Singapore,SGP,2021,11.6,106032.23,
Slovakia,SVK,2021,5.8,31866.025,
Solomon Islands,SLB,2021,19.8,2406.1135,
Spain,ESP,2021,10.3,37913.074,
Switzerland,CHE,2021,4.6,71032.84,
Turkey,TUR,2021,14.5,31466.56,
Tuvalu,TUV,2021,20.3,4924.0273,
