Entity,Code,Year,Deaths - Respiratory infections and tuberculosis - Sex: Both - Age: All Ages (Number)
African Region (WHO),,1990,1194227
African Region (WHO),,1995,1267298
African Region (WHO),,2000,1304673
African Region (WHO),,2005,1255497
African Region (WHO),,2010,1172056
African Region (WHO),,2015,1120391
African Region (WHO),,2019,1034734
Eastern Mediterranean Region (WHO),,1990,358262
Eastern Mediterranean Region (WHO),,1995,369279
Eastern Mediterranean Region (WHO),,2000,349061
Eastern Mediterranean Region (WHO),,2005,330397
Eastern Mediterranean Region (WHO),,2010,311792
Eastern Mediterranean Region (WHO),,2015,296338
Eastern Mediterranean Region (WHO),,2019,274663
European Region (WHO),,1990,315815
European Region (WHO),,1995,348788
European Region (WHO),,2000,340171
European Region (WHO),,2005,324743
European Region (WHO),,2010,288580
European Region (WHO),,2015,296698
European Region (WHO),,2019,298914
Region of the Americas (WHO),,1990,325254
Region of the Americas (WHO),,1995,309967
Region of the Americas (WHO),,2000,283538
Region of the Americas (WHO),,2005,277944
Region of the Americas (WHO),,2010,294418
Region of the Americas (WHO),,2015,325402
Region of the Americas (WHO),,2019,343853
South-East Asia Region (WHO),,1990,1915001
South-East Asia Region (WHO),,1995,1752081
South-East Asia Region (WHO),,2000,1655277
South-East Asia Region (WHO),,2005,1447996
South-East Asia Region (WHO),,2010,1301102
South-East Asia Region (WHO),,2015,1217563
South-East Asia Region (WHO),,2019,1152578
Western Pacific Region (WHO),,1990,1019742
Western Pacific Region (WHO),,1995,867706
Western Pacific Region (WHO),,2000,697803
Western Pacific Region (WHO),,2005,586697
Western Pacific Region (WHO),,2010,550369
Western Pacific Region (WHO),,2015,548681
Western Pacific Region (WHO),,2019,568619
