Entity,Code,Year,Per capita plastic waste (kg/person/day),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2010,,,1055233717.0,
Antigua and Barbuda,ATG,2010,0.66,18702.09,85710.0,
Argentina,ARG,2010,0.183,23521.27,41100124.0,
Asia,,2010,,,4220041467.0,
Bahamas,BHS,2010,0.39,34688.094,373277.0,
Barbados,BRB,2010,0.57,16019.508,274717.0,
Benin,BEN,2010,0.043,2634.1348,9445716.0,
Bermuda,BMU,2010,0.252,88399.914,63466.0,
Brazil,BRA,2010,0.165,14824.741,196353504.0,
Brunei,BRN,2010,0.026,66484.24,396064.0,
Canada,CAN,2010,0.093,44861.523,33963416.0,
China,CHN,2010,0.121,8884.588,1348191360.0,
Comoros,COM,2010,0.201,3025.5173,656032.0,
Croatia,HRV,2010,0.252,24590.521,4368680.0,
Democratic Republic of Congo,COD,2010,0.045,841.85626,66391260.0,
Egypt,EGY,2010,0.178,9807.836,87252416.0,
Europe,,2010,,,737406197.0,
Gabon,GAB,2010,0.054,13682.848,1711117.0,
Germany,DEU,2010,0.485,46999.24,81325088.0,
Guatemala,GTM,2010,0.28,7335.989,14543126.0,
Guyana,GUY,2010,0.586,9831.81,747937.0,
Honduras,HND,2010,0.189,4790.1094,8450936.0,
Hong Kong,HKG,2010,0.398,51359.81,7132437.0,
Iceland,ISL,2010,0.281,47457.62,318346.0,
India,IND,2010,0.01,4213.363,1240613632.0,
Indonesia,IDN,2010,0.057,8212.635,244016176.0,
Iran,IRN,2010,0.144,15099.46,75373864.0,
Italy,ITA,2010,0.134,42664.355,59822452.0,
Jamaica,JAM,2010,0.034,9700.027,2733904.0,
Japan,JPN,2010,0.171,38069.957,128105432.0,
Jordan,JOR,2010,0.144,11866.881,6931263.0,
Kiribati,KIR,2010,0.103,1819.2013,108011.0,
Kuwait,KWT,2010,0.686,59780.03,2943364.0,
Liberia,LBR,2010,0.084,1418.6758,4019958.0,
Libya,LBY,2010,0.144,31394.162,6491991.0,
Macao,MAC,2010,0.368,114042.49,557307.0,
Maldives,MDV,2010,0.322,16492.531,361579.0,
Malta,MLT,2010,0.214,32916.684,418758.0,
Mexico,MEX,2010,0.087,18036.717,112532400.0,
Morocco,MAR,2010,0.073,5841.8784,32464866.0,
Mozambique,MOZ,2010,0.015,1047.5914,23073732.0,
Myanmar,MMR,2010,0.075,2830.284,49390988.0,
Nauru,NRU,2010,0.144,6536.3325,10262.0,
Netherlands,NLD,2010,0.424,52032.99,16617121.0,
Nicaragua,NIC,2010,0.143,4586.874,5855736.0,
North America,,2010,,,543052879.0,
Norway,NOR,2010,0.28,61353.477,4889747.0,
Oceania,,2010,,,37103109.0,
Pakistan,PAK,2010,0.103,4058.0085,194454496.0,
Panama,PAN,2010,0.145,21455.684,3623622.0,
Puerto Rico,PRI,2010,0.252,32960.7,3717920.0,
Qatar,QAT,2010,0.16,103902.516,1713512.0,
Romania,ROU,2010,0.042,20419.188,20335212.0,
Russia,RUS,2010,0.112,23961.22,143242592.0,
Saint Lucia,LCA,2010,0.522,14448.265,170950.0,
Senegal,SEN,2010,0.103,2830.1533,12530128.0,
Seychelles,SYC,2010,0.358,21322.54,92424.0,
Singapore,SGP,2010,0.194,78115.21,5163585.0,
South Africa,ZAF,2010,0.24,13469.361,51784928.0,
South America,,2010,,,393078326.0,
Spain,ESP,2010,0.277,37298.47,46572776.0,
Sri Lanka,LKA,2010,0.357,9440.672,20668556.0,
Sweden,SWE,2010,0.048,47791.37,9381722.0,
Tonga,TON,2010,0.223,5002.6323,107401.0,
Turkey,TUR,2010,0.212,19790.068,73195352.0,
Tuvalu,TUV,2010,0.144,3334.6072,10570.0,
Ukraine,UKR,2010,0.103,12221.44,45683024.0,
United Kingdom,GBR,2010,0.215,42270.434,62760048.0,
United States,USA,2010,0.335,54516.855,311182848.0,
Vanuatu,VUT,2010,0.295,2972.3171,245464.0,
Vietnam,VNM,2010,0.103,6324.526,87411016.0,
