Entity,Code,Year,Expected years of schooling
Bahrain,BHR,1990,13.885123
Bahrain,BHR,1995,13.69696
Bahrain,BHR,2000,13.32764
Bahrain,BHR,2005,13.08207
Bahrain,BHR,2010,13.510367
Bahrain,BHR,2015,15.99202
Bahrain,BHR,2021,16.29756
Denmark,DNK,1990,14.06154
Denmark,DNK,1995,15.12404
Denmark,DNK,2000,16.23391
Denmark,DNK,2005,16.87528
Denmark,DNK,2010,16.94296
Denmark,DNK,2015,19.23701
Denmark,DNK,2021,18.7148
Eritrea,ERI,1995,5.22376
Eritrea,ERI,2000,6.49877
Eritrea,ERI,2005,8.091278
Eritrea,ERI,2010,8.03085
Eritrea,ERI,2015,8.03471
Eritrea,ERI,2021,8.064525
Greece,GRC,1990,12.38534
Greece,GRC,1995,12.81267
Greece,GRC,2000,14.15261
Greece,GRC,2005,16.18701
Greece,GRC,2010,16.75957
Greece,GRC,2015,18.269516
Greece,GRC,2021,20.02879
India,IND,1990,7.996358
India,IND,1995,8.14995
India,IND,2000,8.30649
India,IND,2005,9.650395
India,IND,2010,10.73543
India,IND,2015,11.947
India,IND,2021,11.87462
Kyrgyzstan,KGZ,1990,12.0209
Kyrgyzstan,KGZ,1995,10.57564
Kyrgyzstan,KGZ,2000,11.84472
Kyrgyzstan,KGZ,2005,12.56026
Kyrgyzstan,KGZ,2010,12.41544
Kyrgyzstan,KGZ,2015,12.96703
Kyrgyzstan,KGZ,2021,13.1953
Nauru,NRU,2000,9.54889
Nauru,NRU,2005,10.86083
Nauru,NRU,2010,9.92168
Nauru,NRU,2015,10.868403
Nauru,NRU,2021,11.69042
North Macedonia,MKD,1990,10.351891
North Macedonia,MKD,1995,10.93084
North Macedonia,MKD,2000,11.5328
North Macedonia,MKD,2005,11.7945
North Macedonia,MKD,2010,12.84206
North Macedonia,MKD,2015,13.32862
North Macedonia,MKD,2021,13.624433
Seychelles,SYC,1990,11.450634
Seychelles,SYC,1995,11.87429
Seychelles,SYC,2000,12.23815
Seychelles,SYC,2005,13.06902
Seychelles,SYC,2010,13.37236
Seychelles,SYC,2015,14.19938
Seychelles,SYC,2021,13.94161
South Asia (UNDP),,1990,7.5425076
South Asia (UNDP),,1995,7.800681
South Asia (UNDP),,2000,8.076976
South Asia (UNDP),,2005,9.217438
South Asia (UNDP),,2010,10.225706
South Asia (UNDP),,2015,11.380239
South Asia (UNDP),,2021,11.562208
