Entity,Code,Year,Industrial water withdrawal
Canada,CAN,1990,36000000000.0
Canada,CAN,1995,32909999999.999996
Canada,CAN,2000,31570000000.0
Canada,CAN,2005,33119999999.999996
France,FRA,1985,24510000000.0
France,FRA,1990,28320000000.0
France,FRA,1995,21100000000.0
France,FRA,2000,22110000000.0
France,FRA,2005,21790000000.0
France,FRA,2010,21610000000.0
Japan,JPN,1980,16500000000.0
Japan,JPN,1990,15800000000.0
Japan,JPN,1995,14010000000.0
Japan,JPN,2000,12320000000.0
Japan,JPN,2005,12780000000.0
Japan,JPN,2010,11610000000.0
Spain,ESP,1985,11920000000.0
Spain,ESP,1990,6400000000.0
Spain,ESP,1995,6680000000.0
Spain,ESP,2000,7447000000.0
Spain,ESP,2005,6495000000.0
Spain,ESP,2010,6572000000.0
Sweden,SWE,1970,2960000000.0
Sweden,SWE,1975,2960000000.0
Sweden,SWE,1980,2960000000.0
Sweden,SWE,1990,1783000000.0
Sweden,SWE,1995,1509000000.0
Sweden,SWE,2000,1503000000.0
Sweden,SWE,2005,1523000000.0
Sweden,SWE,2010,1572000000.0
United States,USA,1990,303900000000.0
United States,USA,2000,298800000000.0
United States,USA,2005,305100000000.0
United States,USA,2010,248400000000.0
