Entity,Code,Year,battery_electric_share,plugin_hybrid_share
Austria,AUT,2019,2.698845954,0.650953507
Belgium,BEL,2019,1.606718509,1.539082514
Denmark,DNK,2019,2.437808531,1.712553876
Finland,FIN,2019,1.660452007,5.137160163
France,FRA,2019,1.93922737,0.835023726
Germany,DEU,2019,1.759369237,1.237577645
Greece,GRC,2019,0.164741759,0.401338965
Ireland,IRL,2019,2.941905275,1.099689831
Italy,ITA,2019,0.555101099,0.337239119
Luxembourg,LUX,2019,1.78213169,1.590543496
Netherlands,NLD,2019,13.91034579,1.191399508
Norway,NOR,2019,42.38305942,13.55316758
Portugal,PRT,2019,3.075527594,2.590717564
Spain,ESP,2019,0.76327647,0.564498916
Sweden,SWE,2019,4.38164391,6.949709305
Switzerland,CHE,2019,4.175753912,1.330404312
Turkey,TUR,2019,0.05732642,0.066622596
United Kingdom,GBR,2019,1.637719913,1.503933124
