Entity,Code,Year,Category 1,Category 2,Category 3,Category 4,Category 5
United States,USA,1851,1,0,1,0,0
United States,USA,1861,3,0,0,0,0
United States,USA,1871,1,1,1,0,0
United States,USA,1881,0,2,0,0,0
United States,USA,1891,2,0,0,0,0
United States,USA,1901,2,0,0,0,0
United States,USA,1911,1,1,0,0,0
United States,USA,1921,1,0,1,0,0
United States,USA,1931,0,0,0,0,0
United States,USA,1941,0,1,1,0,0
United States,USA,1951,0,0,0,0,0
United States,USA,1961,0,0,0,1,0
United States,USA,1971,2,1,0,0,0
United States,USA,1981,0,0,0,0,0
United States,USA,1991,0,1,0,0,0
United States,USA,2001,0,0,0,0,0
United States,USA,2017,1,0,0,2,0
