Entity,Code,Year,Number of hens in cages,Number of cage-free hens
Australia,AUS,2018,11585573.0,9672359.0
Canada,CAN,2018,23361626.0,3490817.8
Croatia,HRV,2018,1416820.2,526691.75
Cyprus,CYP,2018,283669.9,114184.1
Czechia,CZE,2018,5498495.5,1102339.5
Finland,FIN,2018,2262000.0,1638000.0
Ireland,IRL,2018,1908530.0,1692470.0
Japan,JPN,2018,131528056.0,7507944.0
Kazakhstan,KAZ,2018,12622500.0,2227500.0
Lithuania,LTU,2018,2669356.2,313164.72
Luxembourg,LUX,2018,0.0,114200.0
Netherlands,NLD,2018,3523665.8,28509658.0
Portugal,PRT,2018,6108750.0,641250.0
South Africa,ZAF,2018,20307992.0,3305952.2
Switzerland,CHE,2018,0.0,3024700.0
Turkey,TUR,2018,124323030.0,16953142.0
