Entity,Code,Year,Intensity of multidimensional poverty (national) - Harmonized over time,Share of population multidimensionally poor (national) - Harmonized over time,Population (historical estimates),Continent
Afghanistan,AFG,2000,,,19542986.0,
Afghanistan,AFG,2021,,,40099460.0,
Africa,,2000,,,818952374.0,
Africa,,2021,,,1393676724.0,
Asia,,2000,,,3735089775.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2000,,,129193336.0,
Bangladesh,BGD,2021,,,169356240.0,
Bolivia,BOL,2000,,,8592656.0,
Bolivia,BOL,2021,,,12079474.0,
Burkina Faso,BFA,2000,,,11882896.0,
Burkina Faso,BFA,2021,,,22100690.0,
Burundi,BDI,2000,,,6307665.0,
Burundi,BDI,2021,,,12551215.0,
Central African Republic,CAF,2000,64.019615,89.56631,3759174.0,
Central African Republic,CAF,2021,,,5457165.0,
Chad,TCD,2000,,,8259144.0,
Chad,TCD,2021,,,17179744.0,
China,CHN,2000,,,1264099072.0,
China,CHN,2021,,,1425893504.0,
Cote d'Ivoire,CIV,2000,,,16799664.0,
Cote d'Ivoire,CIV,2021,,,27478250.0,
Ethiopia,ETH,2000,,,67031872.0,
Ethiopia,ETH,2021,,,120283024.0,
Europe,,2000,,,727917165.0,
Europe,,2021,,,746417727.0,
Ghana,GHA,2000,,,19665506.0,
Ghana,GHA,2021,,,32833036.0,
Haiti,HTI,2000,,,8360224.0,
Haiti,HTI,2021,,,11447575.0,
Honduras,HND,2000,,,6656727.0,
Honduras,HND,2021,,,10278346.0,
India,IND,2000,,,1059633664.0,
India,IND,2021,,,1407563904.0,
Indonesia,IDN,2000,,,214072416.0,
Indonesia,IDN,2021,,,273753184.0,
Kenya,KEN,2000,,,30851604.0,
Kenya,KEN,2021,,,53005616.0,
Laos,LAO,2000,,,5430862.0,
Laos,LAO,2021,,,7425055.0,
Malawi,MWI,2000,,,11229380.0,
Malawi,MWI,2021,,,19889742.0,
Mauritania,MRT,2000,,,2695018.0,
Mauritania,MRT,2021,,,4614981.0,
Niger,NER,2000,,,11622673.0,
Niger,NER,2021,,,25252722.0,
Nigeria,NGA,2021,52.904293,33.044067,213401328.0,
Nigeria,NGA,2000,,,122851984.0,
North America,,2000,,,486364446.0,
North America,,2021,,,597123384.0,
Pakistan,PAK,2000,,,154369920.0,
Pakistan,PAK,2021,,,231402112.0,
Philippines,PHL,2000,,,77958224.0,
Philippines,PHL,2021,,,113880336.0,
South America,,2000,,,349634344.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2000,,,26298778.0,
Sudan,SDN,2021,,,45657204.0,
Tanzania,TZA,2000,,,34463704.0,
Tanzania,TZA,2021,,,63588332.0,
Thailand,THA,2000,,,63066604.0,
Thailand,THA,2021,,,71601104.0,
Togo,TGO,2000,,,5008043.0,
Togo,TGO,2021,,,8644829.0,
Ukraine,UKR,2000,,,48879752.0,
Ukraine,UKR,2021,,,43531424.0,
Yemen,YEM,2000,,,18628704.0,
Yemen,YEM,2021,,,32981644.0,
Zambia,ZMB,2000,,,9891140.0,
Zambia,ZMB,2021,,,19473132.0,
