Entity,Code,Year,"8.3.1 - Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%) - SL_ISV_IFEM - Non-agriculture - Both sexes"
Barbados,BRB,2016,61.75
Democratic Republic of Congo,COD,2012,93.91
Djibouti,DJI,2017,50.13
Dominican Republic,DOM,2012,52.57
Dominican Republic,DOM,2014,50.63
Dominican Republic,DOM,2015,52.85
Dominican Republic,DOM,2016,53.19
Dominican Republic,DOM,2017,53.89
Dominican Republic,DOM,2018,53.64
Dominican Republic,DOM,2019,51.03
Dominican Republic,DOM,2021,54.63
Madagascar,MDG,2015,83.86
Pakistan,PAK,2014,71.99
Pakistan,PAK,2015,71.15
Pakistan,PAK,2018,71.57
Pakistan,PAK,2019,71.78
Pakistan,PAK,2021,75.15
Somalia,SOM,2019,79.23
Thailand,THA,2014,63.37
Thailand,THA,2015,62.42
Thailand,THA,2016,63.11
Thailand,THA,2017,53.69
Thailand,THA,2018,51.94
Tunisia,TUN,2014,56.6
United Kingdom,GBR,2012,28.38
United Kingdom,GBR,2014,22.78
United Kingdom,GBR,2015,22.14
United Kingdom,GBR,2016,22.92
United Kingdom,GBR,2017,25.06
United Kingdom,GBR,2018,24.2
