Entity,Code,Year,civlibs_score_fh
Argentina,ARG,2005,50
Argentina,ARG,2008,48
Argentina,ARG,2010,48
Argentina,ARG,2012,49
Argentina,ARG,2014,49
Argentina,ARG,2016,49
Argentina,ARG,2018,50
Argentina,ARG,2020,49
Argentina,ARG,2022,50
Australia,AUS,2005,57
Australia,AUS,2008,57
Australia,AUS,2010,57
Australia,AUS,2012,58
Australia,AUS,2014,58
Australia,AUS,2016,58
Australia,AUS,2018,58
Australia,AUS,2020,57
Australia,AUS,2022,57
Botswana,BWA,2005,47
Botswana,BWA,2008,48
Botswana,BWA,2010,46
Botswana,BWA,2012,46
Botswana,BWA,2014,45
Botswana,BWA,2016,44
Botswana,BWA,2018,44
Botswana,BWA,2020,44
Botswana,BWA,2022,44
China,CHN,2005,15
China,CHN,2008,14
China,CHN,2010,15
China,CHN,2012,15
China,CHN,2014,15
China,CHN,2016,14
China,CHN,2018,12
China,CHN,2020,11
China,CHN,2022,11
