Entity,Code,Year,"16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Male","16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Female"
Central and Southern Asia (UN),,2015,24,5
Central and Southern Asia (UN),,2016,32,4
Central and Southern Asia (UN),,2017,40,3
Central and Southern Asia (UN),,2018,48,2
Central and Southern Asia (UN),,2019,26,2
Central and Southern Asia (UN),,2020,7,1
Central and Southern Asia (UN),,2021,46,5
Eastern and South-Eastern Asia (UN),,2015,38,5
Eastern and South-Eastern Asia (UN),,2016,32,8
Eastern and South-Eastern Asia (UN),,2017,54,10
Eastern and South-Eastern Asia (UN),,2018,46,7
Eastern and South-Eastern Asia (UN),,2019,44,2
Eastern and South-Eastern Asia (UN),,2020,27,4
Eastern and South-Eastern Asia (UN),,2021,21,6
Europe and Northern America (UN),,2015,12,2
Europe and Northern America (UN),,2016,3,3
Europe and Northern America (UN),,2017,2,3
Europe and Northern America (UN),,2018,9,5
Europe and Northern America (UN),,2019,2,1
Europe and Northern America (UN),,2020,1,1
Europe and Northern America (UN),,2021,1,1
Latin America and the Caribbean (UN),,2015,147,19
Latin America and the Caribbean (UN),,2016,198,25
Latin America and the Caribbean (UN),,2017,174,24
Latin America and the Caribbean (UN),,2018,259,31
Latin America and the Caribbean (UN),,2019,212,34
Latin America and the Caribbean (UN),,2020,259,31
Latin America and the Caribbean (UN),,2021,178,38
Oceania (UN),,2015,0,1
Oceania (UN),,2016,0,0
Oceania (UN),,2017,0,0
Oceania (UN),,2018,0,0
Oceania (UN),,2019,0,0
Oceania (UN),,2020,0,0
Oceania (UN),,2021,1,0
Sub-Saharan Africa (UN),,2015,21,6
Sub-Saharan Africa (UN),,2016,18,1
Sub-Saharan Africa (UN),,2017,16,0
Sub-Saharan Africa (UN),,2018,19,0
Sub-Saharan Africa (UN),,2019,13,3
Sub-Saharan Africa (UN),,2020,34,9
Sub-Saharan Africa (UN),,2021,15,3
