Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,33303.39,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,26391.42,14442.041,10232761.0,
Bahamas,BHS,2019,22044.61,35161.832,404563.0,
Burundi,BDI,2019,22518.77,729.65845,11874838.0,
Central African Republic,CAF,2019,29741.38,861.7668,5209329.0,
Chile,CHL,2019,17179.46,24816.611,19039484.0,
China,CHN,2019,18058.96,15977.764,1421864064.0,
Colombia,COL,2019,16020.65,14616.135,50187404.0,
Democratic Republic of Congo,COD,2019,23259.95,1059.8921,89906896.0,
Ecuador,ECU,2019,18685.83,11390.217,17343742.0,
Egypt,EGY,2019,27807.15,11180.697,105618672.0,
Ethiopia,ETH,2019,19689.46,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,15461.17,45922.793,64399760.0,
Germany,DEU,2019,17277.05,53874.316,83148144.0,
Guinea-Bissau,GNB,2019,27689.55,1890.5331,1970460.0,
Haiti,HTI,2019,30689.56,3101.5942,11160441.0,
India,IND,2019,22071.57,6608.624,1383112064.0,
Indonesia,IDN,2019,24284.06,11857.789,269582880.0,
Ireland,IRL,2019,16792.22,86681.27,4896021.0,
Japan,JPN,2019,13027.95,41697.41,125791680.0,
Kazakhstan,KAZ,2019,24916.93,26351.805,18754260.0,
Kiribati,KIR,2019,42018.83,1990.518,124252.0,
Laos,LAO,2019,25287.21,7840.0713,7212058.0,
Liberia,LBR,2019,20875.69,1455.6377,4985290.0,
Libya,LBY,2019,21167.49,22535.445,6569085.0,
Lithuania,LTU,2019,20070.27,37184.453,2849083.0,
Marshall Islands,MHL,2019,34967.81,5647.067,44750.0,
Mauritania,MRT,2019,18648.31,5505.6465,4383853.0,
Micronesia (country),FSM,2019,36712.78,3540.7825,111392.0,
Mongolia,MNG,2019,30697.14,12458.019,3232435.0,
Morocco,MAR,2019,23380.86,8217.599,36304408.0,
Myanmar,MMR,2019,25830.84,4829.5366,53040212.0,
Nauru,NRU,2019,39308.13,12000.611,12156.0,
Nepal,NPL,2019,23282.38,3922.0813,28832500.0,
Nigeria,NGA,2019,21141.61,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,27623.54,5157.5464,223293280.0,
Palau,PLW,2019,29982.28,17605.48,17939.0,
Panama,PAN,2019,16552.33,31543.605,4232538.0,
Papua New Guinea,PNG,2019,30048.11,3947.8655,9542492.0,
Russia,RUS,2019,23206.69,27254.574,145742288.0,
Rwanda,RWA,2019,21414.45,2191.4016,12835029.0,
Senegal,SEN,2019,21401.14,3430.484,16000783.0,
Singapore,SGP,2019,12309.91,98283.31,5866408.0,
Solomon Islands,SLB,2019,44700.53,2616.863,675000.0,
Somalia,SOM,2019,25354.95,1138.2859,15981312.0,
South America,,2019,,,428318218.0,
Switzerland,CHE,2019,14760.75,70857.086,8575593.0,
Tajikistan,TJK,2019,27901.25,3575.2798,9337008.0,
Turkey,TUR,2019,19194.55,28150.059,83481688.0,
United States,USA,2019,21717.37,62478.254,334319680.0,
Uzbekistan,UZB,2019,31275.16,7348.147,32976946.0,
Vietnam,VNM,2019,20466.24,10252.005,95776712.0,
World,OWID_WRL,2019,20204.91,16847.46,7764951040.0,
Zimbabwe,ZWE,2019,25297.14,2203.3967,15354606.0,
