Entity,Code,Year,Inbound tourism purpose (personal)
Brazil,BRA,1995,1455000.0
Brazil,BRA,2000,3833000.0
Brazil,BRA,2005,3799000.0
Brazil,BRA,2010,3959000.0
Brazil,BRA,2015,5032000.0
Congo,COG,2010,126800.0
Congo,COG,2015,167900.0
Cote d'Ivoire,CIV,1995,104000.0
Cote d'Ivoire,CIV,2010,151000.0
Cote d'Ivoire,CIV,2015,836000.0
Cote d'Ivoire,CIV,2021,329100.0
Lithuania,LTU,2000,746000.0
Lithuania,LTU,2005,1500000.0
Lithuania,LTU,2010,1052000.0
Lithuania,LTU,2015,1455000.0
Lithuania,LTU,2021,734800.0
Micronesia (country),FSM,2000,18000.0
Micronesia (country),FSM,2005,14600.0
Micronesia (country),FSM,2010,38900.0
Micronesia (country),FSM,2015,25200.0
Papua New Guinea,PNG,1995,21000.0
Papua New Guinea,PNG,2000,21000.0
Papua New Guinea,PNG,2005,24000.0
Papua New Guinea,PNG,2010,41000.0
Papua New Guinea,PNG,2015,71500.0
Papua New Guinea,PNG,2021,1800.0
