Entity,Code,Year,Death rate in ongoing wars - Conflict type: non-state,Death rate in ongoing wars - Conflict type: extra-state,Death rate in ongoing wars - Conflict type: intra-state,Death rate in ongoing wars - Conflict type: inter-state
World,OWID_WRL,1816,0.0,1.444804,0.0,0.0
World,OWID_WRL,1823,0.7113081,0.6749508,0.77817327,0.08999344
World,OWID_WRL,1830,0.2148624,3.3890676,0.83942443,0.0
World,OWID_WRL,1837,0.30252576,0.08306583,2.8963392,0.0
World,OWID_WRL,1844,0.0804456,0.4380263,0.22669572,0.0
World,OWID_WRL,1851,0.07821618,0.3615934,1.4176682,0.050840516
World,OWID_WRL,1858,0.42589065,0.6938146,0.49558187,0.0
World,OWID_WRL,1865,0.083634175,0.99996066,15.461146,3.6538253
World,OWID_WRL,1872,0.59222996,1.614715,2.9969797,0.0
World,OWID_WRL,1879,0.0,1.8169006,0.20306537,0.19765028
World,OWID_WRL,1886,0.46876875,0.14926781,0.0,0.0
World,OWID_WRL,1893,0.31707814,0.77457756,0.12918238,0.0
World,OWID_WRL,1900,0.0,0.9384459,1.6269987,0.4285021
World,OWID_WRL,1907,0.0,0.7295783,0.3314415,0.058147628
World,OWID_WRL,1914,0.0,0.0901531,1.5281862,86.135025
World,OWID_WRL,1921,0.0,0.7681264,1.230776,1.3475729
World,OWID_WRL,1928,0.0,0.21798804,2.8736749,0.0
World,OWID_WRL,1935,0.0,0.0,2.6156929,1.5181117
World,OWID_WRL,1942,0.0,0.0,0.0,126.53253
World,OWID_WRL,1949,0.040477183,1.2488829,9.509547,0.04723687
World,OWID_WRL,1956,0.0,0.3079597,0.43683493,0.20137198
World,OWID_WRL,1963,0.0,0.064750984,0.9976529,0.0
World,OWID_WRL,1970,0.033805545,0.08643402,0.98290306,2.8030207
World,OWID_WRL,1977,0.0,0.079101555,0.5923606,0.18772392
World,OWID_WRL,1984,0.0,0.35800883,1.4483027,2.9078064
World,OWID_WRL,1991,0.0,0.021273203,1.9122205,0.38783824
World,OWID_WRL,1998,0.0,0.0,0.8923369,0.6709426
World,OWID_WRL,2007,0.0,0.14315812,0.24490638,0.0
