Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Africa,,2021,,,1393676724.0,
Albania,ALB,2017,79.0,12773.269,2879361.0,
Albania,ALB,2021,76.5,14518.906,2854710.0,
Algeria,DZA,2017,75.7,11809.483,41136548.0,
Algeria,DZA,2021,76.4,11039.806,44177964.0,
Argentina,ARG,2017,76.8,23597.117,44054616.0,
Argentina,ARG,2021,75.4,21527.195,45276788.0,
Asia,,2017,,,4547095064.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2017,71.8,4830.776,161793968.0,
Bangladesh,BGD,2021,72.4,5911.013,169356240.0,
Bolivia,BOL,2017,67.7,8244.934,11435535.0,
Bolivia,BOL,2021,63.6,8052.1772,12079474.0,
Botswana,BWA,2017,66.8,14656.773,2401848.0,
Botswana,BWA,2021,61.1,14840.913,2588424.0,
Brazil,BRA,2017,74.8,14477.861,208504960.0,
Brazil,BRA,2021,72.8,14592.353,214326224.0,
Brunei,BRN,2017,74.7,60173.05,430290.0,
Brunei,BRN,2021,74.6,60127.023,445382.0,
Burundi,BDI,2017,61.6,750.7876,11155592.0,
Burundi,BDI,2021,61.7,705.0304,12551215.0,
Cambodia,KHM,2017,70.5,3972.724,15830694.0,
Cambodia,KHM,2021,69.6,4354.5654,16589031.0,
Cameroon,CMR,2017,60.8,3691.0947,24393182.0,
Cameroon,CMR,2021,60.3,3700.4644,27198632.0,
Cape Verde,CPV,2017,76.6,6320.3423,564959.0,
Cape Verde,CPV,2021,74.1,6114.1333,587936.0,
Central African Republic,CAF,2017,53.7,839.60004,4996741.0,
Central African Republic,CAF,2021,53.9,837.5047,5457165.0,
Chad,TCD,2017,52.3,1579.7606,15085893.0,
Chad,TCD,2021,52.5,1425.4945,17179744.0,
Chile,CHL,2017,80.4,24546.912,18368582.0,
Chile,CHL,2021,78.9,25449.13,19493184.0,
China,CHN,2017,77.2,14243.532,1410275968.0,
China,CHN,2021,78.2,17602.695,1425893504.0,
Congo,COG,2017,63.8,4073.926,5312347.0,
Congo,COG,2021,63.5,3234.393,5835814.0,
Costa Rica,CRI,2017,79.4,20168.22,4993849.0,
Costa Rica,CRI,2021,77.0,21199.281,5153959.0,
