Entity,Code,Year,Share of population living in cities (DEGURBA Level 1),Share of population living in rural areas (DEGURBA Level 1),Share of population living in towns and suburbs (DEGURBA Level 1),Share of population living in cities (DEGURBA Level 1) (future projections),Share of population living in rural areas (DEGURBA Level 1) (future projections),Share of population living in towns and suburbs (DEGURBA Level 1) (future projections)
Democratic Republic of Congo,COD,1975,30.957571,48.494236,20.548187,,,
Democratic Republic of Congo,COD,1980,30.715448,45.74196,23.542593,,,
Democratic Republic of Congo,COD,1990,33.553997,46.11775,20.328259,,,
Democratic Republic of Congo,COD,2000,36.451443,36.32511,27.223448,,,
Democratic Republic of Congo,COD,2010,36.608253,30.858925,32.53283,,,
Democratic Republic of Congo,COD,2020,41.283077,21.70974,37.007187,,,
Democratic Republic of Congo,COD,2030,,,,46.20895,16.61689,37.174164
Marshall Islands,MHL,1975,0.0,51.36869,48.631313,,,
Marshall Islands,MHL,1980,0.0,55.68009,44.3199,,,
Marshall Islands,MHL,1990,0.0,49.731853,50.26815,,,
Marshall Islands,MHL,2000,0.0,30.085436,69.91456,,,
Marshall Islands,MHL,2010,0.0,25.580778,74.41922,,,
Marshall Islands,MHL,2020,0.0,21.930283,78.06972,,,
Marshall Islands,MHL,2030,,,,0.0,21.153309,78.84669
Seychelles,SYC,1975,0.0,20.620161,79.37984,,,
Seychelles,SYC,1980,0.0,17.212824,82.78717,,,
Seychelles,SYC,1990,0.0,18.311426,81.688576,,,
Seychelles,SYC,2000,0.0,20.467913,79.53208,,,
Seychelles,SYC,2010,0.0,22.206436,77.79357,,,
Seychelles,SYC,2020,0.0,17.479729,82.52028,,,
Seychelles,SYC,2030,,,,0.0,17.157183,82.84281
South Sudan,SSD,1975,15.324226,78.60891,6.066862,,,
South Sudan,SSD,1980,15.324226,78.60891,6.066862,,,
South Sudan,SSD,1990,18.156116,71.7753,10.068587,,,
South Sudan,SSD,2000,17.629532,63.433296,18.937176,,,
South Sudan,SSD,2010,19.600819,46.205772,34.193405,,,
South Sudan,SSD,2020,37.5652,28.30979,34.125008,,,
South Sudan,SSD,2030,,,,53.599773,20.730877,25.669342
Taiwan,TWN,1975,69.22221,0.0,30.777794,,,
Taiwan,TWN,1980,71.0864,0.89646846,28.017124,,,
Taiwan,TWN,1990,80.97345,0.09919345,18.927351,,,
Taiwan,TWN,2000,82.62821,0.07855079,17.293232,,,
Taiwan,TWN,2010,86.02706,0.061980814,13.910959,,,
Taiwan,TWN,2020,85.86986,0.04763422,14.082501,,,
Taiwan,TWN,2030,,,,87.72299,0.03617398,12.240834
