Entity,Code,Year,"Time spent on leisure, social, and associative life (Eurostat)",Population (historical estimates),Continent
Belgium,BEL,2000,331.46036,10264351.0,
Belgium,BEL,2010,341.0,10877948.0,
Estonia,EST,2000,278.58038,1396881.0,
Estonia,EST,2010,323.0,1331535.0,
Europe,,2000,,727917165.0,
Europe,,2010,,737406197.0,
Finland,FIN,2000,338.82355,5176208.0,
Finland,FIN,2010,365.25363,5363279.0,
France,FRA,2000,264.36719,58665456.0,
France,FRA,2010,303.0,62444568.0,
Germany,DEU,2000,329.37241,81551680.0,
Germany,DEU,2010,351.0,81325088.0,
Italy,ITA,2000,275.57413,56966400.0,
Italy,ITA,2010,294.0,59822452.0,
Norway,NOR,2000,346.72235,4491204.0,
Norway,NOR,2010,353.2453,4889747.0,
Poland,POL,2000,296.02789,38504432.0,
Poland,POL,2010,302.0,38597356.0,
Spain,ESP,2000,291.40472,40741652.0,
Spain,ESP,2010,311.0,46572776.0,
United Kingdom,GBR,2000,309.93713,58850044.0,
United Kingdom,GBR,2010,314.7814,62760048.0,
