Entity,Code,Year,Deaths - Drowning - Sex: Both - Age: Under 5 (Rate)
Eritrea,ERI,1990,16.99
Eritrea,ERI,1995,11.62
Eritrea,ERI,2000,10.58
Eritrea,ERI,2005,10.46
Eritrea,ERI,2010,8.12
Eritrea,ERI,2015,6.87
Eritrea,ERI,2019,5.8
Laos,LAO,1990,46.81
Laos,LAO,1995,35.04
Laos,LAO,2000,27.21
Laos,LAO,2005,20.67
Laos,LAO,2010,14.68
Laos,LAO,2015,9.76
Laos,LAO,2019,7.06
Trinidad and Tobago,TTO,1990,3.22
Trinidad and Tobago,TTO,1995,3.2
Trinidad and Tobago,TTO,2000,3.39
Trinidad and Tobago,TTO,2005,2.39
Trinidad and Tobago,TTO,2010,1.86
Trinidad and Tobago,TTO,2015,1.58
Trinidad and Tobago,TTO,2019,1.47
