Entity,Code,Year,Mean income or consumption,Median income or consumption,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,,,25357168.0,
Bangladesh,BGD,2019,,,165516224.0,
Botswana,BWA,2019,,,2499705.0,
Brazil,BRA,2019,21.11513,12.887688,211782880.0,
China,CHN,2019,14.174434,10.724763,1421864064.0,
Eswatini,SWZ,2019,,,1169620.0,
Europe,,2019,,,747418251.0,
Greece,GRC,2019,28.479956,24.61295,10574026.0,
India,IND,2019,4.9689527,3.8649018,1383112064.0,
Indonesia,IDN,2019,7.3372326,5.5377636,269582880.0,
Laos,LAO,2019,,,7212058.0,
Malaysia,MYS,2019,,,32804024.0,
Montenegro,MNE,2019,,,630403.0,
Mozambique,MOZ,2019,2.102978,1.2982113,30285602.0,
Myanmar,MMR,2019,,,53040212.0,
Nicaragua,NIC,2019,,,6663919.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Poland,POL,2019,20.499294,17.241077,38493600.0,
Russia,RUS,2019,23.716806,17.90123,145742288.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,,,51803832.0,
Sri Lanka,LKA,2019,9.24845,6.91304,21649664.0,
United Kingdom,GBR,2019,55.15668,47.227264,66778660.0,
United States,USA,2019,85.874725,65.042755,334319680.0,
Vanuatu,VUT,2019,5.431598,4.6742573,304414.0,
Vietnam,VNM,2019,,,95776712.0,
Zambia,ZMB,2019,,,18380478.0,
Zimbabwe,ZWE,2019,4.5001917,2.6548173,15354606.0,
