Entity,Code,Year,Terrorism deaths
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2021,0
Burkina Faso,BFA,1970,0
Burkina Faso,BFA,1980,0
Burkina Faso,BFA,1990,0
Burkina Faso,BFA,2000,0
Burkina Faso,BFA,2010,0
Burkina Faso,BFA,2021,422
Ecuador,ECU,1970,0
Ecuador,ECU,1980,2
Ecuador,ECU,1990,3
Ecuador,ECU,2000,0
Ecuador,ECU,2010,0
Ecuador,ECU,2021,0
Grenada,GRD,1970,0
Grenada,GRD,1980,9
Grenada,GRD,1990,0
Grenada,GRD,2000,0
Grenada,GRD,2010,0
Grenada,GRD,2021,0
Martinique,MTQ,1970,0
Martinique,MTQ,1980,0
Martinique,MTQ,1990,0
Martinique,MTQ,2000,0
Martinique,MTQ,2010,0
Martinique,MTQ,2021,0
