Entity,Code,Year,17.7.1 - Amount of tracked exported Environmentally Sound Technologies (current United States dollars) - DC_ENVTECH_EXP
China,CHN,2010,147206406144
China,CHN,2012,184044109824
China,CHN,2014,205664419840
China,CHN,2016,190438064128
China,CHN,2018,220717744128
China,CHN,2020,258656354304
United States,USA,2010,107611504640
United States,USA,2012,126470455296
United States,USA,2014,134368788480
United States,USA,2016,121397518336
United States,USA,2018,128230727680
United States,USA,2020,113829814272
