Entity,Code,Year,Wheat yield
Angola,AGO,1961,1.1111
Angola,AGO,1970,0.85459995
Angola,AGO,1980,0.5833
Angola,AGO,1990,0.7995
Angola,AGO,2000,1.7025
Angola,AGO,2010,1.0526
Angola,AGO,2021,0.893
Bosnia and Herzegovina,BIH,2000,3.2289999
Bosnia and Herzegovina,BIH,2010,2.6620998
Bosnia and Herzegovina,BIH,2021,4.7888
Cameroon,CMR,1980,0.7931
Cameroon,CMR,1990,1.5
Cameroon,CMR,2000,1.3362
Cameroon,CMR,2010,1.3845999
Cameroon,CMR,2021,1.3366
Ethiopia (former),OWID_ERE,1961,0.7127
Ethiopia (former),OWID_ERE,1970,0.7549
Ethiopia (former),OWID_ERE,1980,1.0023
Ethiopia (former),OWID_ERE,1990,1.3201
Honduras,HND,1961,0.78239995
Honduras,HND,1970,0.82949996
Honduras,HND,1980,0.77779996
Honduras,HND,1990,0.5769
Honduras,HND,2000,0.5257
Honduras,HND,2010,0.55079997
Honduras,HND,2021,0.5385
Lesotho,LSO,1961,0.8648
Lesotho,LSO,1970,0.6561
Lesotho,LSO,1980,0.9738
Lesotho,LSO,1990,0.8118
Lesotho,LSO,2000,0.6547
Lesotho,LSO,2010,1.4692999
Lesotho,LSO,2021,0.81509995
Luxembourg,LUX,2000,5.5769
Luxembourg,LUX,2010,5.9586
Luxembourg,LUX,2021,5.9161
Net Food Importing Developing Countries (FAO),,1961,0.85389996
Net Food Importing Developing Countries (FAO),,1970,1.0665
Net Food Importing Developing Countries (FAO),,1980,1.4247999
Net Food Importing Developing Countries (FAO),,1990,1.7231
Net Food Importing Developing Countries (FAO),,2000,1.9761
Net Food Importing Developing Countries (FAO),,2010,2.4215
Net Food Importing Developing Countries (FAO),,2021,2.9689999
New Caledonia,NCL,1961,2.5
New Caledonia,NCL,1970,2.8571
New Caledonia,NCL,1980,1.0638
New Caledonia,NCL,1990,0.7317
New Caledonia,NCL,2021,0.4522
Nigeria,NGA,1961,1.7778
Nigeria,NGA,1970,1.7272999
Nigeria,NGA,1980,2.3999999
Nigeria,NGA,1990,0.8333
Nigeria,NGA,2000,1.4038
Nigeria,NGA,2010,1.4843999
Nigeria,NGA,2021,1.125
Qatar,QAT,1980,2.3518999
Qatar,QAT,1990,2.2996
Qatar,QAT,2000,2.3056
Qatar,QAT,2010,2.25
Qatar,QAT,2021,2.3119
South Africa,ZAF,1961,0.61899996
South Africa,ZAF,1970,0.7233
South Africa,ZAF,1980,0.9047
South Africa,ZAF,1990,1.0934
South Africa,ZAF,2000,2.5997
South Africa,ZAF,2010,2.5623
South Africa,ZAF,2021,4.3118
Sudan,SDN,2021,2.3077
Tanzania,TZA,1961,0.7625
Tanzania,TZA,1970,0.95
Tanzania,TZA,1980,1.4063
Tanzania,TZA,1990,2.0381
Tanzania,TZA,2000,0.4561
Tanzania,TZA,2010,1.1429
Tanzania,TZA,2021,1.0
Yugoslavia,OWID_YGS,1961,1.6161
Yugoslavia,OWID_YGS,1970,2.0686998
Yugoslavia,OWID_YGS,1980,3.3581998
Yugoslavia,OWID_YGS,1990,4.253
