Entity,Code,Year,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)
Ethiopia,ETH,2022,6
Kenya,KEN,1990,91
Kenya,KEN,1995,0
Kenya,KEN,2000,15
Kenya,KEN,2005,0
Kenya,KEN,2010,0
Kenya,KEN,2015,0
Kenya,KEN,2020,0
Kenya,KEN,2022,0
Mozambique,MOZ,1990,3
Rwanda,RWA,2020,0
Rwanda,RWA,2022,0
Tanzania,TZA,1990,187
Tanzania,TZA,1995,422
Tanzania,TZA,2000,350
Tanzania,TZA,2005,186
Tanzania,TZA,2010,5
Tanzania,TZA,2015,2
Tanzania,TZA,2020,1
Tanzania,TZA,2022,1
Uganda,UGA,1990,1417
Uganda,UGA,1995,497
Uganda,UGA,2000,300
Uganda,UGA,2005,473
Uganda,UGA,2010,112
Uganda,UGA,2015,28
Uganda,UGA,2020,2
Uganda,UGA,2022,0
Zambia,ZMB,1990,7
Zambia,ZMB,1995,1
Zambia,ZMB,2000,9
Zambia,ZMB,2005,7
Zambia,ZMB,2010,8
Zambia,ZMB,2015,9
Zambia,ZMB,2020,6
Zambia,ZMB,2022,7
Zimbabwe,ZWE,2005,3
Zimbabwe,ZWE,2010,2
Zimbabwe,ZWE,2015,3
Zimbabwe,ZWE,2020,0
Zimbabwe,ZWE,2022,0
