Entity,Code,Year,Terrorist attacks
Africa,,1992,862
Africa,,1995,523
Africa,,2000,330
Africa,,2005,166
Africa,,2010,433
Africa,,2015,3196
Africa,,2021,1162
Australasia & Oceania,,1992,17
Australasia & Oceania,,1995,18
Australasia & Oceania,,2000,6
Australasia & Oceania,,2005,0
Australasia & Oceania,,2010,1
Australasia & Oceania,,2015,12
Australasia & Oceania,,2021,1
Central America & Caribbean,,1992,212
Central America & Caribbean,,1995,168
Central America & Caribbean,,2000,14
Central America & Caribbean,,2005,3
Central America & Caribbean,,2010,1
Central America & Caribbean,,2015,1
Central America & Caribbean,,2021,2
Central Asia,,1992,77
Central Asia,,1995,55
Central Asia,,2000,21
Central Asia,,2005,11
Central Asia,,2010,9
Central Asia,,2015,10
Central Asia,,2021,0
East Asia,,1992,74
East Asia,,1995,38
East Asia,,2000,19
East Asia,,2005,2
East Asia,,2010,1
East Asia,,2015,28
East Asia,,2021,5
Eastern Europe,,1992,91
Eastern Europe,,1995,68
Eastern Europe,,2000,234
Eastern Europe,,2005,76
Eastern Europe,,2010,261
Eastern Europe,,2015,685
Eastern Europe,,2021,16
Middle East & North Africa,,1992,1192
Middle East & North Africa,,1995,590
Middle East & North Africa,,2000,272
Middle East & North Africa,,2005,882
Middle East & North Africa,,2010,1463
Middle East & North Africa,,2015,6194
Middle East & North Africa,,2021,1262
North America,,1992,41
North America,,1995,94
North America,,2000,51
North America,,2005,22
North America,,2010,26
North America,,2015,65
North America,,2021,59
Oceania,,1992,17
Oceania,,1995,18
Oceania,,2000,6
Oceania,,2005,0
Oceania,,2010,1
Oceania,,2015,12
Oceania,,2021,1
South America,,1992,1204
South America,,1995,255
South America,,2000,150
South America,,2005,49
South America,,2010,148
South America,,2015,176
South America,,2021,147
South Asia,,1992,545
South Asia,,1995,1051
South Asia,,2000,356
South Asia,,2005,604
South Asia,,2010,1981
South Asia,,2015,4586
South Asia,,2021,1853
Southeast Asia,,1992,279
Southeast Asia,,1995,168
Southeast Asia,,2000,256
Southeast Asia,,2005,204
Southeast Asia,,2010,472
Southeast Asia,,2015,1072
Southeast Asia,,2021,373
Sub-Saharan Africa,,1992,570
Sub-Saharan Africa,,1995,239
Sub-Saharan Africa,,2000,191
Sub-Saharan Africa,,2005,60
Sub-Saharan Africa,,2010,331
Sub-Saharan Africa,,2015,1971
Sub-Saharan Africa,,2021,1137
