Entity,Code,Year,GDP per capita growth (annual %)
China,CHN,1961,-26.527643
China,CHN,1970,16.0504
China,CHN,1980,6.490113
China,CHN,1990,2.4065585
China,CHN,2000,7.6385975
China,CHN,2010,10.102833
China,CHN,2021,8.013346
India,IND,1961,1.3595746
India,IND,1970,2.8585582
India,IND,1980,4.3493743
India,IND,1990,3.2978542
India,IND,2000,1.9659524
India,IND,2010,7.0131745
India,IND,2021,7.8182487
Russia,RUS,1990,-3.162836
Russia,RUS,2000,10.463709
Russia,RUS,2010,4.4530964
Russia,RUS,2021,5.1772346
United States,USA,1961,0.6181212
United States,USA,1970,-1.4384506
United States,USA,1980,-1.2092983
United States,USA,1990,0.7414861
United States,USA,2000,2.925441
United States,USA,2010,1.8602917
United States,USA,2021,5.8201404
World,OWID_WRL,1961,2.4068248
World,OWID_WRL,1970,1.8375672
World,OWID_WRL,1980,0.12075905
World,OWID_WRL,1990,1.1011143
World,OWID_WRL,2000,3.1194396
World,OWID_WRL,2010,3.278766
World,OWID_WRL,2021,4.964844
