Entity,Code,Year,Share of tobacco in total household consumption (World Bank Global Consumption Database)
Afghanistan,AFG,2010,0.42864531
Bangladesh,BGD,2010,1.2566941
Bhutan,BTN,2010,0.29343387
Bolivia,BOL,2010,0.10084815
Bulgaria,BGR,2010,6.5266166
Cameroon,CMR,2010,0.23387665
Colombia,COL,2010,0.19763544
Congo,COG,2010,0.19301528
Djibouti,DJI,2010,1.392995
Egypt,EGY,2010,2.4188457
Gabon,GAB,2010,0.36085892
India,IND,2010,0.83098358
Indonesia,IDN,2010,5.5380054
Jordan,JOR,2010,3.7247012
Mexico,MEX,2010,0.10259458
Nigeria,NGA,2010,0.015958836
Pakistan,PAK,2010,1.0963081
Peru,PER,2010,0.05631528
Philippines,PHL,2010,1.0058239
Russia,RUS,2010,0.61954767
Ukraine,UKR,2010,2.246927
Vietnam,VNM,2010,1.1346433
