Entity,Code,Year,"Death rate per 100,000 people - Cause: Lower respiratory infections - Sex: Both sexes - Age group: ALLAges"
Antigua and Barbuda,ATG,2000,18.13
Antigua and Barbuda,ATG,2005,16.96
Antigua and Barbuda,ATG,2010,25.7
Antigua and Barbuda,ATG,2015,25.64
Antigua and Barbuda,ATG,2019,24.07
Central African Republic,CAF,2000,167.98
Central African Republic,CAF,2005,145.92
Central African Republic,CAF,2010,148.25
Central African Republic,CAF,2015,135.5
Central African Republic,CAF,2019,110.24
Seychelles,SYC,2000,50.57
Seychelles,SYC,2005,56.37
Seychelles,SYC,2010,66.82
Seychelles,SYC,2015,75.68
Seychelles,SYC,2019,76.6
