Entity,Code,Year,Number of surveys in the past decade
Central African Republic,CAF,1963,0
Central African Republic,CAF,1970,0
Central African Republic,CAF,1980,0
Central African Republic,CAF,1990,0
Central African Republic,CAF,2000,1
Central African Republic,CAF,2010,1
Central African Republic,CAF,2022,1
China,CHN,1963,0
China,CHN,1970,0
China,CHN,1980,0
China,CHN,1990,4
China,CHN,2000,3
China,CHN,2010,4
China,CHN,2022,8
Democratic Republic of Congo,COD,1963,0
Democratic Republic of Congo,COD,1970,0
Democratic Republic of Congo,COD,1980,0
Democratic Republic of Congo,COD,1990,0
Democratic Republic of Congo,COD,2000,0
Democratic Republic of Congo,COD,2010,1
Democratic Republic of Congo,COD,2022,0
India,IND,1963,0
India,IND,1970,0
India,IND,1980,1
India,IND,1990,2
India,IND,2000,1
India,IND,2010,2
India,IND,2022,7
Peru,PER,1963,0
Peru,PER,1970,0
Peru,PER,1980,0
Peru,PER,1990,1
Peru,PER,2000,5
Peru,PER,2010,10
Peru,PER,2022,9
South Africa,ZAF,1963,0
South Africa,ZAF,1970,0
South Africa,ZAF,1980,0
South Africa,ZAF,1990,0
South Africa,ZAF,2000,2
South Africa,ZAF,2010,3
South Africa,ZAF,2022,1
