Entity,Code,Year,priv_libs_vdem_owid,priv_libs_vdem_high_owid,priv_libs_vdem_low_owid
Argentina,ARG,1789,0.078,0.147,0.035
Argentina,ARG,1850,0.247,0.371,0.139
Argentina,ARG,1900,0.758,0.841,0.624
Argentina,ARG,1950,0.809,0.899,0.713
Argentina,ARG,2000,0.924,0.961,0.855
Argentina,ARG,2022,0.884,0.94,0.805
Australia,AUS,1789,0.045,0.091,0.018
Australia,AUS,1850,0.671,0.774,0.526
Australia,AUS,1900,0.671,0.774,0.526
Australia,AUS,1950,0.861,0.921,0.755
Australia,AUS,2000,0.923,0.958,0.852
Australia,AUS,2022,0.9,0.95,0.82
Botswana,BWA,1900,0.209,0.316,0.125
Botswana,BWA,1950,0.222,0.333,0.132
Botswana,BWA,2000,0.891,0.944,0.816
Botswana,BWA,2022,0.813,0.903,0.725
China,CHN,1789,0.119,0.201,0.062
China,CHN,1850,0.107,0.169,0.05
China,CHN,1900,0.109,0.183,0.059
China,CHN,1950,0.015,0.034,0.006
China,CHN,2000,0.204,0.297,0.12
China,CHN,2022,0.117,0.179,0.059
World,OWID_WRL,1789,0.16759524,0.25817856,0.10351191
World,OWID_WRL,1850,0.30454955,0.402991,0.21737838
World,OWID_WRL,1900,0.366551,0.4649388,0.27358502
World,OWID_WRL,1950,0.3718409,0.4597784,0.2881932
World,OWID_WRL,2000,0.695809,0.77411234,0.60227525
World,OWID_WRL,2022,0.67844135,0.76313406,0.58072627
