Entity,Code,Year,Total deaths - Drought,Total deaths - Flood,Total deaths - Earthquake,Total deaths - Extreme weather,Total deaths - Extreme temperature,Total deaths - Volcanic activity,Total deaths - Landslide,Total deaths - Wildfire,Total deaths - Glacial lake outburst,Total deaths - Dry mass movement,Total deaths - Fog
World,OWID_WRL,1900,1261000.0,300.0,140.0,6000.0,,30.0,,,,,
World,OWID_WRL,1910,85000.0,1379.0,2522.0,30.0,,,62.0,,,,
World,OWID_WRL,1920,524000.0,0.0,182648.0,224.0,,,,,,,
World,OWID_WRL,1940,20000.0,125.0,1402.0,123.0,,,,,,,
World,OWID_WRL,1960,0.0,10577.0,18831.0,9164.0,,0.0,52.0,,,,
World,OWID_WRL,1965,1502000.0,1401.0,695.0,59932.0,100.0,355.0,230.0,0.0,,,
World,OWID_WRL,1970,0.0,3246.0,78181.0,304495.0,,,228.0,0.0,,,
World,OWID_WRL,1980,3000.0,10466.0,7639.0,1379.0,1389.0,90.0,300.0,0.0,,50.0,
World,OWID_WRL,1985,0.0,4376.0,9852.0,17165.0,456.0,21800.0,377.0,51.0,,300.0,
World,OWID_WRL,1990,0.0,2251.0,42845.0,4604.0,979.0,33.0,141.0,0.0,,73.0,
World,OWID_WRL,1995,0.0,7948.0,7739.0,3763.0,1730.0,0.0,1521.0,29.0,,,
World,OWID_WRL,2000,59.0,6025.0,217.0,1354.0,934.0,0.0,1012.0,47.0,,11.0,
World,OWID_WRL,2005,149.0,5742.0,76241.0,5251.0,2627.0,3.0,664.0,45.0,,,
World,OWID_WRL,2010,20000.0,8356.0,226733.0,1564.0,57088.0,323.0,3427.0,166.0,,,
World,OWID_WRL,2015,35.0,3479.0,9550.0,1288.0,7425.0,0.0,1006.0,78.0,,13.0,
World,OWID_WRL,2023,0.0,5156.0,54652.0,1425.0,207.0,0.0,412.0,310.0,,,
World,OWID_WRL,1915,,0.0,30156.0,2125.0,,,56.0,,,,
World,OWID_WRL,1925,,0.0,6140.0,819.0,,,,,,,
World,OWID_WRL,1935,,142000.0,67412.0,62707.0,,,,,,,
World,OWID_WRL,1950,,3808.0,1950.0,873.0,,84.0,130.0,,,,
World,OWID_WRL,1955,,584.0,489.0,3895.0,107.0,,478.0,,,3.0,
World,OWID_WRL,1975,,20796.0,4632.0,1041.0,140.0,2.0,195.0,,,,
World,OWID_WRL,1905,,,20729.0,240.0,,,,,,18.0,
World,OWID_WRL,1930,,,5563.0,4082.0,,1369.0,40.0,,,,
World,OWID_WRL,1945,,,6943.0,4415.0,,0.0,,,,,
