Entity,Code,Year,funct_gov_eiu
Argentina,ARG,2006,5.0
Argentina,ARG,2008,5.0
Argentina,ARG,2010,5.71
Argentina,ARG,2012,5.71
Argentina,ARG,2014,5.71
Argentina,ARG,2016,5.0
Argentina,ARG,2018,5.36
Argentina,ARG,2020,5.36
Argentina,ARG,2022,5.0
Australia,AUS,2006,8.93
Australia,AUS,2008,8.93
Australia,AUS,2010,8.93
Australia,AUS,2012,8.93
Australia,AUS,2014,8.93
Australia,AUS,2016,8.93
Australia,AUS,2018,8.93
Australia,AUS,2020,8.57
Australia,AUS,2022,8.57
Botswana,BWA,2006,7.860000000000001
Botswana,BWA,2008,7.5
Botswana,BWA,2010,7.139999999999999
Botswana,BWA,2012,7.139999999999999
Botswana,BWA,2014,7.139999999999999
Botswana,BWA,2016,7.139999999999999
Botswana,BWA,2018,7.139999999999999
Botswana,BWA,2020,6.790000000000001
Botswana,BWA,2022,6.79
China,CHN,2006,4.64
China,CHN,2008,5.0
China,CHN,2010,5.0
China,CHN,2012,4.64
China,CHN,2014,4.64
China,CHN,2016,4.64
China,CHN,2018,5.0
China,CHN,2020,4.29
China,CHN,2022,3.21
