Entity,Code,Year,Mobile cellular subscriptions (per 100 people)
China,CHN,1980,0.0
China,CHN,1985,0.0
China,CHN,1990,0.001587842
China,CHN,1995,0.29791212
China,CHN,2000,6.7447248
China,CHN,2005,30.148651
China,CHN,2010,63.715214
China,CHN,2015,92.700714
China,CHN,2021,121.514084
India,IND,1980,0.0
India,IND,1985,0.0
India,IND,1990,0.0
India,IND,1995,0.007952054
India,IND,2000,0.33757845
India,IND,2005,7.806771
India,IND,2010,60.63048
India,IND,2015,75.67324
India,IND,2021,81.98894
Japan,JPN,1980,0.0
Japan,JPN,1985,0.051024187
Japan,JPN,1990,0.7018383
Japan,JPN,1995,9.337293
Japan,JPN,2000,52.66746
Japan,JPN,2005,75.49705
Japan,JPN,2010,96.2388
Japan,JPN,2015,126.17568
Japan,JPN,2021,160.88174
United Kingdom,GBR,1980,0.0
United Kingdom,GBR,1985,0.08827209
United Kingdom,GBR,1990,1.947197
United Kingdom,GBR,1995,9.901172
United Kingdom,GBR,2000,73.83512
United Kingdom,GBR,2005,108.42598
United Kingdom,GBR,2010,122.25905
United Kingdom,GBR,2015,121.50489
United Kingdom,GBR,2021,118.56683
United States,USA,1980,0.0
United States,USA,1985,0.14468148
United States,USA,1990,2.1295452
United States,USA,1995,12.717606
United States,USA,2000,38.76721
United States,USA,2005,68.62221
United States,USA,2010,91.62395
United States,USA,2015,102.308395
United States,USA,2021,107.305504
