Entity,Code,Year,Harmonized national poverty line,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Angola,AGO,2017,,7216.0615,30208634.0,
Argentina,ARG,2017,13.30969083028982,23597.117,44054616.0,
Asia,,2017,,,4547095064.0,
Bolivia,BOL,2017,10.460691085858397,8244.934,11435535.0,
Brazil,BRA,2017,,14477.861,208504960.0,
Bulgaria,BGR,2017,10.871627663377614,21473.805,7182430.0,
Burundi,BDI,2017,,750.7876,11155592.0,
China,CHN,2017,,14243.532,1410275968.0,
Czechia,CZE,2017,19.173440536225076,38824.887,10531315.0,
Ecuador,ECU,2017,5.940432913391311,11679.431,16696947.0,
Egypt,EGY,2017,4.157091779398289,10435.917,101789384.0,
Eswatini,SWZ,2017,,8213.921,1151397.0,
Ethiopia,ETH,2017,,1987.9688,108197944.0,
Europe,,2017,,,745657647.0,
Gambia,GMB,2017,,1927.0399,2381189.0,
Germany,DEU,2017,,53071.457,82624368.0,
Ghana,GHA,2017,,4929.568,30222266.0,
Guatemala,GTM,2017,,8322.217,16578718.0,
Guinea,GIN,2017,,2383.5789,12240791.0,
Haiti,HTI,2017,,3187.7898,10863546.0,
Honduras,HND,2017,6.660132244861197,5447.6987,9626845.0,
Hungary,HUN,2017,11.132417589478605,29501.121,9788940.0,
Indonesia,IDN,2017,2.4127466097949557,10941.921,264498848.0,
Iraq,IRQ,2017,,9976.8545,39621156.0,
Ireland,IRL,2017,26.453819413708764,77749.2,4771860.0,
Italy,ITA,2017,22.854223691814543,41581.12,60004024.0,
Kazakhstan,KAZ,2017,4.58607829022812,24862.967,18314822.0,
Lesotho,LSO,2017,3.217914895933,2571.694,2170622.0,
Liberia,LBR,2017,,1533.4113,4796632.0,
Malawi,MWI,2017,,1454.7775,17881172.0,
Mozambique,MOZ,2017,,1287.2349,28569448.0,
Myanmar,MMR,2017,3.963136106167374,4312.9473,52288344.0,
Nicaragua,NIC,2017,,5915.3755,6480534.0,
Niger,NER,2017,,1155.9735,21737924.0,
Nigeria,NGA,2017,,5120.0054,193495904.0,
North America,,2017,,,581258143.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,,4891.7197,216379648.0,
Philippines,PHL,2017,,8001.7563,106738496.0,
Portugal,PRT,2017,15.408188144580691,33044.715,10307528.0,
Russia,RUS,2017,9.036234499563443,25926.443,145452544.0,
Sao Tome and Principe,STP,2017,4.554199131781478,3934.8943,208050.0,
South America,,2017,,,420982650.0,
Tanzania,TZA,2017,1.62313040612702,2458.3428,56267040.0,
Thailand,THA,2017,5.724104054273467,17008.04,70898208.0,
Turkey,TUR,2017,7.631603354377102,27582.832,82089824.0,
Ukraine,UKR,2017,4.806232211896622,11860.561,44657260.0,
United Kingdom,GBR,2017,25.76764395550315,46372.387,66064808.0,
United States,USA,2017,34.78694957432708,59914.777,329791232.0,
Zambia,ZMB,2017,,3395.4797,17298056.0,
Zimbabwe,ZWE,2017,2.014217555211601,2331.7808,14751101.0,
