Entity,Code,Year,GDP (constant 2015 US$)
Brazil,BRA,1960,188464090000
Brazil,BRA,1970,342966570000
Brazil,BRA,1980,784558900000
Brazil,BRA,1990,917212230000
Brazil,BRA,2000,1186420500000
Brazil,BRA,2010,1703152300000
Brazil,BRA,2021,1829904300000
China,CHN,1960,158907170000
China,CHN,1970,232061750000
China,CHN,1980,422769660000
China,CHN,1990,1027377460000
China,CHN,2000,2770108000000
China,CHN,2010,7554099000000
China,CHN,2021,15801911000000
France,FRA,1960,521063240000
France,FRA,1970,910636100000
France,FRA,1980,1300253900000
France,FRA,1990,1661090900000
France,FRA,2000,2046499600000
France,FRA,2010,2317567700000
France,FRA,2021,2577596000000
Germany,DEU,1970,1398784400000
Germany,DEU,1980,1860614800000
Germany,DEU,1990,2342139200000
Germany,DEU,2000,2835481000000
Germany,DEU,2010,3087971600000
Germany,DEU,2021,3554676000000
India,IND,1960,136368090000
India,IND,1970,201528930000
India,IND,1980,270942680000
India,IND,1990,465242720000
India,IND,2000,800534300000
India,IND,2010,1535897500000
India,IND,2021,2726370500000
Japan,JPN,1960,583595200000
Japan,JPN,1970,1459462600000
Japan,JPN,1980,2258390200000
Japan,JPN,1990,3509518000000
Japan,JPN,2000,3986755400000
Japan,JPN,2010,4218907800000
Japan,JPN,2021,4435431000000
Mexico,MEX,1960,141339660000
Mexico,MEX,1970,272411480000
Mexico,MEX,1980,520217800000
Mexico,MEX,1990,626274300000
Mexico,MEX,2000,876437500000
Mexico,MEX,2010,1012981370000
Mexico,MEX,2021,1206918300000
Russia,RUS,1990,1161487700000
Russia,RUS,2000,780432240000
Russia,RUS,2010,1250663300000
Russia,RUS,2021,1490186400000
United Kingdom,GBR,1960,781539740000
United Kingdom,GBR,1970,1099494200000
United Kingdom,GBR,1980,1356941000000
United Kingdom,GBR,1990,1810395700000
United Kingdom,GBR,2000,2307855200000
United Kingdom,GBR,2010,2660406400000
United Kingdom,GBR,2021,3036531700000
United States,USA,1960,3457188000000
United States,USA,1970,5186833600000
United States,USA,1980,7080769500000
United States,USA,1990,9811055000000
United States,USA,2000,13754300000000
United States,USA,2010,16383037000000
United States,USA,2021,20529460000000
