Entity,Code,Year,Mobile cellular subscriptions (per 100 people)
Antigua and Barbuda,ATG,1980,0.0
Antigua and Barbuda,ATG,1985,0.0
Antigua and Barbuda,ATG,1990,0.0
Antigua and Barbuda,ATG,2000,29.311838
Antigua and Barbuda,ATG,2005,107.67632
Antigua and Barbuda,ATG,2010,196.00911
Antigua and Barbuda,ATG,2015,195.68602
Brunei,BRN,1980,0.0
Brunei,BRN,1985,0.0
Brunei,BRN,1990,0.6765218
Brunei,BRN,1995,11.996443
Brunei,BRN,2000,28.449417
Brunei,BRN,2005,63.509464
Brunei,BRN,2010,109.86032
Brunei,BRN,2015,109.95332
Brunei,BRN,2021,135.50125
Namibia,NAM,1980,0.0
Namibia,NAM,1985,0.0
Namibia,NAM,1990,0.0
Namibia,NAM,1995,0.21801828
Namibia,NAM,2000,4.5076222
Namibia,NAM,2005,22.867441
Namibia,NAM,2010,92.89286
Namibia,NAM,2015,111.70161
Namibia,NAM,2021,115.22265
North Macedonia,MKD,1980,0.0
North Macedonia,MKD,1985,0.0
North Macedonia,MKD,1990,0.0
North Macedonia,MKD,1995,0.0
North Macedonia,MKD,2000,5.679668
North Macedonia,MKD,2005,54.41029
North Macedonia,MKD,2010,102.84632
North Macedonia,MKD,2015,98.84348
North Macedonia,MKD,2021,92.29897
Sub-Saharan Africa (WB),,1980,0.0
Sub-Saharan Africa (WB),,1985,0.0
Sub-Saharan Africa (WB),,1990,0.0015393273
Sub-Saharan Africa (WB),,1995,0.1030207
Sub-Saharan Africa (WB),,2000,1.7207674
Sub-Saharan Africa (WB),,2005,11.99051
Sub-Saharan Africa (WB),,2010,44.093983
Sub-Saharan Africa (WB),,2015,74.5488
Sub-Saharan Africa (WB),,2021,92.605545
