Entity,Code,Year,Total number of patents in renewable energy technologies
China,CHN,2000,2135
China,CHN,2005,7831
China,CHN,2010,35316
China,CHN,2015,65530
China,CHN,2021,48909
European Union (27),,2000,6861
European Union (27),,2005,8031
European Union (27),,2010,16789
European Union (27),,2015,14113
European Union (27),,2021,1373
Japan,JPN,2000,12946
Japan,JPN,2005,15703
Japan,JPN,2010,24248
Japan,JPN,2015,21387
Japan,JPN,2021,1233
United States,USA,2000,4993
United States,USA,2005,11763
United States,USA,2010,26197
United States,USA,2015,30108
United States,USA,2021,6950
