Entity,Code,Year,judicial_constr_vdem_owid,judicial_constr_vdem_low_owid,judicial_constr_vdem_high_owid
Argentina,ARG,1789,0.592,0.422,0.757
Argentina,ARG,1850,0.509,0.314,0.722
Argentina,ARG,1900,0.839,0.738,0.921
Argentina,ARG,1950,0.378,0.258,0.555
Argentina,ARG,2000,0.724,0.592,0.833
Argentina,ARG,2022,0.687,0.546,0.804
Australia,AUS,1789,0.721,0.507,0.863
Australia,AUS,1850,0.83,0.698,0.912
Australia,AUS,1900,0.957,0.905,0.983
Australia,AUS,1950,0.991,0.975,0.997
Australia,AUS,2000,0.991,0.975,0.997
Australia,AUS,2022,0.989,0.972,0.997
Botswana,BWA,1900,0.834,0.738,0.915
Botswana,BWA,1950,0.834,0.738,0.915
Botswana,BWA,2000,0.887,0.811,0.942
Botswana,BWA,2022,0.855,0.742,0.924
China,CHN,1789,0.067,0.019,0.139
China,CHN,1850,0.067,0.019,0.139
China,CHN,1900,0.157,0.083,0.26
China,CHN,1950,0.215,0.122,0.321
China,CHN,2000,0.267,0.149,0.381
China,CHN,2022,0.043,0.017,0.091
