Entity,Code,Year,"Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) "
Argentina,ARG,2000,27.02
Argentina,ARG,2010,29.83
Argentina,ARG,2015,33.46
Belgium French,,1970,82.96
Belgium French,,1980,86.78
Belgium French,,1990,63.84
Honduras,HND,2010,14.13
India,IND,2010,16.97
Nigeria,NGA,1980,23.72
Slovakia,SVK,2000,78.61
Slovakia,SVK,2010,69.24
Slovakia,SVK,2015,65.22
Syria,SYR,2010,26.77
Tunisia,TUN,2000,39.8
Tunisia,TUN,2010,18.67
Tunisia,TUN,2015,20.59
